,I,Length
1525,incapacities,12
1526,incapacity,10
1527,incapsulate,11
1528,incapsulation,13
1529,incarcerated,12
1530,incarcerating,13
1531,incarcerate,11
1532,incarceration,13
1533,incarcerator,12
1534,incarn,6
1535,incarnadine,11
1536,incarnate,9
1537,incarnated,10
1538,incarnating,11
1539,incarnation,11
1540,incarnative,11
1541,incarnification,15
1542,incased,7
1543,incasing,8
1544,incase,6
1545,incasement,10
1546,incask,6
1547,incastellated,13
1548,incastelled,11
1549,incatenation,12
1550,incaution,9
1551,incautious,10
1552,incavated,9
1553,incavation,10
1554,incaved,7
1555,incaverned,10
1556,incedingly,10
1557,incelebrity,11
1558,incend,6
1559,incendiarism,12
1560,incendiaries,12
1561,incendiary,10
1562,incendious,10
1563,incensant,9
1564,incensation,11
1565,incensed,8
1566,incensing,9
1567,incense,7
1568,incensebreathing,16
1569,incensement,11
1570,incenser,8
1571,incension,9
1572,incensive,9
1573,incensor,8
1574,incensories,11
1575,incensory,9
1576,incensurable,12
1577,incenter,8
1578,incentive,9
1579,incentively,11
1580,inception,9
1581,inceptive,9
1582,inceptor,8
1583,inceration,10
1584,incerative,10
1585,incertain,9
1586,incertainty,11
1587,incertitude,11
1588,incertum,8
1589,incessable,10
1590,incessancy,10
1591,incessant,9
1592,incessantly,11
1593,incession,9
1594,incest,6
1595,incesttuous,11
1596,inch,4
1597,inched,6
1598,inching,7
1599,inchambered,11
1600,inchambering,12
1601,inchamber,9
1602,inchangeability,15
1603,inchant,7
1604,incharitable,12
1605,incharity,9
1606,inchase,7
1607,inchastity,10
1608,inchest,7
1609,inchipin,8
1610,inchmeal,8
1611,inchoate,8
1612,inchoation,10
1613,inchoative,10
1614,inchpin,7
1615,inchworm,8
1616,incicurable,11
1617,incide,6
1618,incidence,9
1619,incidency,9
1620,incident,8
1621,incindental,11
1622,incendental,11
1623,incidently,10
1624,incinerable,11
1625,incinerate,10
1626,incinerated,11
1627,incinerating,12
1628,incineration,12
1629,incipience,10
1630,incipiency,10
1631,incipient,9
1632,incircle,8
1633,incirclet,9
1634,incircumscriptible,18
1635,incircumscription,17
1636,incircumspect,13
1637,incircumspection,16
1638,incised,7
1639,incising,8
1640,incise,6
1641,incisely,8
1642,incision,8
1643,incisive,8
1644,incisor,7
1645,incisory,8
1646,incisure,8
1647,incitant,8
1648,incitation,10
1649,incitative,10
1650,incited,7
1651,inciting,8
1652,incite,6
1653,incitement,10
1654,inciter,7
1655,incitingly,10
1656,incivil,7
1657,incivilities,12
1658,incivility,10
1659,incivilization,14
1660,incivilly,9
1661,incivism,8
1662,inclamation,11
1663,inclasp,7
1664,inclaudent,10
1665,inclavated,10
1666,inclave,7
1667,incle,5
1668,inclemencies,12
1669,inclemency,10
1670,inclement,9
1671,inclemently,11
1672,inclinable,10
1673,inclinableness,14
1674,inclinnation,12
1675,inclinatory,11
1676,inclined,8
1677,inclining,9
1678,incline,7
1679,incliner,8
1680,inclinnometer,13
1681,inclip,6
1682,incloister,10
1683,inclosed,8
1684,inclosing,9
1685,inclose,7
1686,incloser,8
1687,inclosure,9
1688,incloud,7
1689,included,8
1690,including,9
1691,include,7
1692,includible,10
1693,inclusa,7
1694,inclusion,9
1695,inclusive,9
1696,inclusively,11
1697,incoach,7
1698,incoact,7
1699,incoacted,9
1700,incoagulable,12
1701,incoalescence,13
1702,incocted,8
1703,incoercible,11
1704,incoexistence,13
1705,incog,5
1706,incogitable,11
1707,incogitance,11
1708,incogitancy,11
1709,incogitant,10
1710,incogitantly,12
1711,incogitative,12
1712,incogitativity,14
1713,incognita,9
1714,incognitant,11
1715,incognito,9
1716,incognitos,10
1717,incognizable,12
1718,incognizance,12
1719,incognizant,11
1720,incognoscible,13
1721,incoherence,11
1722,incoherency,11
1723,incoherent,10
1724,incoherentific,14
1725,incoherently,12
1726,incoherentness,14
1727,incoincidence,13
1728,incoincident,12
1729,incolumity,10
1730,incomber,8
1731,incombine,9
1732,incombustibility,16
1733,incombustible,13
1734,income,6
1735,incomer,7
1736,incoming,8
1737,incomity,8
1738,incommensurability,18
1739,incommensurable,15
1740,incommensurate,14
1741,incommiscible,13
1742,incommixture,12
1743,incommodated,12
1744,incommodating,13
1745,incommodate,11
1746,incommodation,13
1747,incommoded,10
1748,incommoding,11
1749,incommode,9
1750,incommodement,13
1751,incommodious,12
1752,incommodities,13
1753,incommodity,11
1754,incommunicability,17
1755,incommunicable,14
1756,incommunicated,14
1757,incommunicating,15
1758,incommunicative,15
1759,incommutability,15
1760,incommutable,12
1761,incompact,9
1762,incompacted,11
1763,incomparable,12
1764,incompared,10
1765,incompass,9
1766,incompassion,12
1767,incompassionate,15
1768,incompatibility,15
1769,incompatible,12
1770,incompatibleness,16
1771,incompatibly,12
1772,incompetence,12
1773,incompetency,12
1774,incompetent,11
1775,incompetently,13
1776,incompetibility,15
1777,incompetible,12
1778,incomplete,10
1779,incompletely,12
1780,incompleteness,14
1781,incompletion,12
1782,incomplex,9
1783,incompliable,12
1784,incompliance,12
1785,incompliant,11
1786,incomposed,10
1787,incomposite,11
1788,incompossible,13
1789,incomprehense,13
1790,incomprehensibility,19
1791,incomprehensible,16
1792,incomprehension,15
1793,incomprehensive,15
1794,incompressibility,17
1795,incompressible,14
1796,incomputable,12
1797,inconcealable,13
1798,inconceivability,16
1799,inconceivable,13
1800,inconceptible,13
1801,inconcerning,12
1802,inconcinne,10
1803,inconcinnity,12
1804,inconcinnous,12
1805,inconcludent,12
1806,inconcluding,12
1807,inconclusive,12
1808,inconcoct,9
1809,inconcocted,11
1810,inconcoction,12
1811,inconcrete,10
1812,inconcurring,12
1813,inconcussible,13
1814,incondensability,16
1815,incondensibility,16
1816,incondensable,13
1817,incondensible,13
1818,incondite,9
1819,inconditional,13
1820,inconditionate,14
1821,inconform,9
1822,inconformable,13
1823,inconformity,12
1824,inconfused,10
1825,inconfusion,11
1826,inconfutable,12
1827,incongealable,13
1828,incongenial,11
1829,incongruence,12
1830,incongruent,11
1831,incongruities,13
1832,incongruity,11
1833,incongruous,11
1834,inconnected,11
1835,inconnection,12
1836,inconnexedly,12
1837,inconscionable,14
1838,inconscious,11
1839,inconsecutiveness,17
1840,inconsequence,13
1841,inconsequent,12
1842,inconsequential,15
1843,inconsequentiality,18
1844,inconsequentness,16
1845,inconsiderable,14
1846,inconsideracy,13
1847,inconsiderate,13
1848,inconsiderately,15
1849,inconsiderateness,17
1850,inconsideration,15
1851,inconsistence,13
1852,inconsistencies,15
1853,inconsistency,13
1854,inconsistent,12
1855,inconsistently,14
1856,inconsistentness,16
1857,inconsisting,12
1858,inconsolable,12
1859,inconsonance,12
1860,inconsonancy,12
1861,inconsonant,11
1862,inconspicuous,13
1863,inconstance,11
1864,inconstancy,11
1865,inconstant,10
1866,inconstantly,12
1867,incomsumable,12
1868,inconsummate,12
1869,inconsumptible,14
1870,incontaminate,13
1871,incontentation,14
1872,incontestability,16
1873,incontestable,13
1874,incontested,11
1875,incontiguous,12
1876,incontinence,12
1877,incontinency,12
1878,incontinent,11
1879,incontinently,13
1880,incontracted,12
1881,incontrollable,14
1882,incontrovertibility,19
1883,incontrovertible,16
1884,inconvenience,13
1885,inconveniency,13
1886,inconvenient,12
1887,inconveniently,14
1888,inconversable,13
1889,inconversant,12
1890,inconverted,11
1891,inconvertibility,16
1892,inconvertible,13
1893,inconvertibleness,17
1894,inconvertibly,13
1895,inconvincible,13
1896,inconvincibly,13
1897,incony,6
1898,incoordinate,12
1899,incoordination,14
1900,incoronate,10
1901,incorporal,10
1902,incorporality,13
1903,incorporally,12
1904,incorporate,11
1905,incorporated,12
1906,incorporating,13
1907,incorporation,13
1908,incorporative,13
1909,incorporator,12
1910,incorporeal,11
1911,incorporealism,14
1912,incorporealist,14
1913,incorporeality,14
1914,incorporeally,13
1915,incorporeity,12
1916,incorpse,8
1917,incorrect,9
1918,incorrection,12
1919,incorrectly,11
1920,incorrectness,13
1921,incorrespondence,16
1922,incorrespondency,16
1923,incorresponding,15
1924,incorrigibility,15
1925,incorrigible,12
1926,incorrigibleness,16
1927,incorrigibly,12
1928,incorrodible,12
1929,incorrupt,9
1930,incorrupted,11
1931,incorruptibility,16
1932,incorruptible,13
1933,incorruptibly,13
1934,incorruption,12
1935,incorruptive,12
1936,incorruptly,11
1937,incorruptness,13
1938,incrassated,11
1939,incrassating,12
1940,incrassate,10
1941,incrassation,12
1942,incrassative,12
1943,increasable,11
1944,increased,9
1945,increasing,10
1946,increase,8
1947,increaseful,11
1948,increasement,12
1949,increaser,9
1950,increasingly,12
1951,increated,9
1952,increating,10
1953,increate,8
1954,incredibility,13
1955,incredible,10
1956,incredibleness,14
1957,incredibly,10
1958,incredited,10
1959,incredulity,11
1960,incredulous,11
1961,incredulously,13
1962,incredulousness,15
1963,incremable,10
1964,incremate,9
1965,incremation,11
1966,increment,9
1967,incremental,11
1968,increpate,9
1969,increpation,11
1970,increscent,10
1971,increst,7
1972,incriminated,12
1973,incriminating,13
1974,incriminate,11
1975,incrimination,13
1976,incriminatory,13
1977,incruental,10
1978,incrusted,9
1979,incrusting,10
1980,incrust,7
1981,incrustate,10
1982,incrustation,12
1983,incrustment,11
1984,incrystallizable,16
1985,incubated,9
1986,incubating,10
1987,incubate,8
1988,incubation,10
1989,incubative,10
1990,incubator,9
1991,incubatory,10
1992,incube,6
1993,incubiture,10
1994,incubous,8
1995,incubuses,9
1996,incubi,6
1997,incubus,7
1998,inculcated,10
1999,inculcating,11
2000,inculcate,9
2001,inculcation,11
2002,inculcator,10
2003,inculk,6
2004,inculp,6
2005,inculpable,10
2006,inculpableness,14
2007,inculpably,10
2008,inculpated,10
2009,inculpating,11
2010,inculpate,9
2011,inculpation,11
2012,inculpatory,11
2013,incult,6
2014,incultivated,12
2015,incultivation,13
2016,inculture,9
2017,incumbencies,12
2018,incumbency,10
2019,incumbent,9
2020,incumbently,11
2021,incumbered,10
2022,incumbering,11
2023,incumber,8
2024,incumbition,11
2025,incumbrance,11
2026,incumbrancer,12
2027,incumbrous,10
2028,incunabula,10
2029,incunabulum,11
2030,incurred,8
2031,incurring,9
2032,incur,5
2033,incurability,12
2034,incurable,9
2035,incurableness,13
2036,incurably,9
2037,incuriosity,11
2038,incurious,9
2039,incuriously,11
2040,incuriousness,13
2041,incurrence,10
2042,incurrent,9
2043,incursion,9
2044,incursive,9
2045,incurtain,9
2046,incurvate,9
2047,incurvated,10
2048,incurvating,11
2049,incurvation,11
2050,incurved,8
2051,incurving,9
2052,incurve,7
2053,incurvity,9
2054,incus,5
2055,incuse,6
2056,incuss,6
2057,incute,6
2058,incyst,6
2059,incysted,8
2060,ind,3
2061,indagate,8
2062,indagation,10
2063,indagative,10
2064,indagator,9
2065,indamage,8
2066,indamaged,9
2067,indart,6
2068,indazol,7
2069,inde,4
2070,indear,6
2071,indebted,8
2072,indebting,9
2073,indebt,6
2074,indebtedness,12
2075,indebtment,10
2076,indecence,9
2077,indecencies,11
2078,indecency,9
2079,indecent,8
2080,indecently,10
2081,indeciduate,11
2082,indeciduous,11
2083,indecimable,11
2084,indecipherable,14
2085,indecision,10
2086,indecisive,10
2087,indecisively,12
2088,indecisiveness,14
2089,indecinable,11
2090,indecinably,11
2091,indecomposable,14
2092,indecomposableness,18
2093,indecorous,10
2094,indecorously,12
2095,indecorousness,14
2096,indecorum,9
2097,indeed,6
2098,indefatigability,16
2099,indefatigable,13
2100,indefatigableness,17
2101,indefatigably,13
2102,indefatigation,14
2103,indefeasibility,15
2104,indefeasible,12
2105,indefectibility,15
2106,indefectible,12
2107,indefective,11
2108,indefeisible,12
2109,indefensibility,15
2110,indefensible,12
2111,indefensibly,12
2112,indefensive,11
2113,indeficiency,12
2114,indeficient,11
2115,indefinable,11
2116,indefinably,11
2117,indefinite,10
2118,indefinitely,12
2119,indefiniteness,14
2120,indefinitude,12
2121,indehiscence,12
2122,indehiscent,11
2123,indelectable,12
2124,indeliberate,12
2125,indeliberated,13
2126,indelibility,12
2127,indelible,9
2128,indelicacies,12
2129,indelicacy,10
2130,indelicate,10
2131,indemnification,15
2132,indemnified,11
2133,indemnifying,12
2134,indemnify,9
2135,indemnities,11
2136,indemnity,9
2137,indemonstrability,17
2138,indemonstrable,14
2139,indenization,12
2140,indenize,8
2141,indenizened,11
2142,indenizening,12
2143,indenizen,9
2144,indented,8
2145,indenting,9
2146,indent,6
2147,indentation,11
2148,indentedly,10
2149,indention,9
2150,indentment,10
2151,indenture,9
2152,indentured,10
2153,indenturing,11
2154,independence,12
2155,independency,12
2156,independent,11
2157,independentism,14
2158,independently,13
2159,indeposable,11
2160,indepravate,11
2161,indeprecable,12
2162,indeprehensible,15
2163,indeprivable,12
2164,indescribable,13
2165,indescriptive,13
2166,indesert,8
2167,indesinent,10
2168,indesirable,11
2169,indestructibility,17
2170,indestructible,14
2171,indeterminable,14
2172,indeterminate,13
2173,indetermination,15
2174,indetermined,12
2175,indevirginate,13
2176,indevote,8
2177,indevotion,10
2178,indevout,8
2179,indew,5
2180,indexes,7
2181,indices,7
2182,index,5
2183,indexed,7
2184,indexing,8
2185,indexer,7
2186,indexical,9
2187,indexically,11
2188,indexterity,11
2189,india,5
2190,indiadem,8
2191,indiamen,8
2192,indiaman,8
2193,indian,6
2194,indianeer,9
2195,indical,7
2196,indican,7
2197,indicant,8
2198,indicated,9
2199,indicating,10
2200,indicate,8
2201,indication,10
2202,indicative,10
2203,indicatively,12
2204,indicator,9
2205,indicatory,10
2206,indicatrix,10
2207,indicavit,9
2208,indice,6
2209,indicia,7
2210,indicible,9
2211,indicolite,10
2212,indicted,8
2213,indicting,9
2214,indict,6
2215,indictable,10
2216,indictee,8
2217,indicter,8
2218,indiction,9
2219,indictive,9
2220,indictment,10
2221,indictor,8
2222,indies,6
2223,indifference,12
2224,indifferency,12
2225,indifferent,11
2226,indifferentism,14
2227,indifferentist,14
2228,indifferently,13
2229,indifulvin,10
2230,indifuscin,10
2231,indigeen,8
2232,indigence,9
2233,indigency,9
2234,indigene,8
2235,indigenous,10
2236,indigent,8
2237,indigently,10
2238,indigest,8
2239,indigested,10
2240,indigestedness,14
2241,indigestibility,15
2242,indigestible,12
2243,indigestion,11
2244,indigitate,10
2245,indigitated,11
2246,indigitating,12
2247,indigitation,12
2248,indiglucin,10
2249,indign,6
2250,indignance,10
2251,indignancy,10
2252,indignant,9
2253,indignantly,11
2254,indignation,11
2255,indignify,9
2256,indignities,11
2257,indignity,9
2258,indignly,8
2259,indigoes,8
2260,indigo,6
2261,indigofera,10
2262,indigogen,9
2263,indigometer,11
2264,indigometry,11
2265,indigotic,9
2266,indigotin,9
2267,indigrubin,10
2268,indihumin,9
2269,indilatory,10
2270,indiligence,11
2271,indiligent,10
2272,indiminishable,14
2273,indin,5
2274,indirect,8
2275,indirected,10
2276,indirection,11
2277,indirectly,10
2278,indirectness,12
2279,indiretin,9
2280,indirubin,9
2281,indiscernible,13
2282,indiscerpibility,16
2283,indiscerptibility,17
2284,indiscerpible,13
2285,indiscerptible,14
2286,indisciplinable,15
2287,indiscipline,12
2288,indiscoverable,14
2289,indiscovery,11
2290,indiscreet,10
2291,indiscrete,10
2292,indiscretion,12
2293,indiscriminate,14
2294,indiscriminating,16
2295,indiscrimination,16
2296,indiscriminative,16
2297,indiscussed,11
2298,indispensability,16
2299,indispensable,13
2300,indispensableness,17
2301,indispensably,13
2302,indispersed,11
2303,indisposed,10
2304,indisposing,11
2305,indispose,9
2306,indisposedness,14
2307,indisposition,13
2308,indisputability,15
2309,indisputable,12
2310,indisputed,10
2311,indissipable,12
2312,indisdolubility,15
2313,indissoluble,12
2314,indissolubleness,16
2315,indissolubly,12
2316,indissolvable,13
2317,indissolvableness,17
2318,indistancy,10
2319,indistinct,10
2320,indistinctible,14
2321,indistinction,13
2322,indistinctive,13
2323,indistinctly,12
2324,indistinctness,14
2325,indistinguishable,17
2326,indistinguishably,17
2327,indistinguished,15
2328,indistinguishing,16
2329,indisturbance,13
2330,inditch,7
2331,indited,7
2332,inditing,8
2333,indite,6
2334,inditement,10
2335,inditer,7
2336,indium,6
2337,indivertible,12
2338,individable,11
2339,individed,9
2340,individual,10
2341,individualism,13
2342,individualistic,15
2343,individualities,15
2344,individuality,13
2345,individualization,17
2346,individualized,14
2347,individualizing,15
2348,individualize,13
2349,individualizer,14
2350,individually,12
2351,individuate,11
2352,individua,9
2353,individuating,13
2354,individuation,13
2355,individuator,12
2356,individuity,11
2357,indivinity,10
2358,indivisibility,14
2359,indivisible,11
2360,indivisibleness,15
2361,indivisibly,11
2362,indivision,10
2363,indoaniline,11
2364,indobriton,10
2365,indocibility,12
2366,indocible,9
2367,indocile,8
2368,indocility,10
2369,indoctrinated,13
2370,indoctrinating,14
2371,indoctrinate,12
2372,indoctrination,14
2373,indogen,7
2374,indogenide,10
2375,indoin,6
2376,indol,5
2377,indolence,9
2378,indolency,9
2379,indolent,8
2380,indolently,10
2381,indoles,7
2382,indolin,7
2383,indomable,9
2384,indomitable,11
2385,indomite,8
2386,indomptable,11
2387,indoor,6
2388,indoors,7
2389,indophenol,10
2390,indorsable,10
2391,indorsation,11
2392,indorsed,8
2393,indorsing,9
2394,indorse,7
2395,indorsee,8
2396,indorsement,11
2397,indorser,8
2398,indorsor,8
2399,indow,5
2400,indowment,9
2401,indoxyl,7
2402,indoxylic,9
2403,indraught,9
2404,indrawn,7
2405,indrench,8
2406,indris,6
2407,indri,5
2408,indubious,9
2409,indubitable,11
2410,indubitableness,15
2411,indubitably,11
2412,indubitate,10
2413,induced,7
2414,inducing,8
2415,induce,6
2416,inducement,10
2417,inducer,7
2418,inducible,9
2419,inducted,8
2420,inducting,9
2421,induct,6
2422,inducteous,10
2423,inductile,9
2424,inductility,11
2425,induction,9
2426,inductional,11
2427,inductive,9
2428,inductively,11
2429,inductometer,12
2430,inductor,8
2431,inductoriums,12
2432,inductoria,10
2433,inductorium,11
2434,inductric,9
2435,inductrical,11
2436,indued,6
2437,induing,7
2438,indue,5
2439,induement,9
2440,indulged,8
2441,indulging,9
2442,indulge,7
2443,indulgement,11
2444,indulgence,10
2445,indulgency,10
2446,indulgent,9
2447,indulgential,12
2448,indulgently,11
2449,indulger,8
2450,indulgiate,10
2451,induline,8
2452,indult,6
2453,indulto,7
2454,indument,8
2455,induplicate,11
2456,induplicative,13
2457,indurance,9
2458,indurate,8
2459,indurated,9
2460,indurating,10
2461,induration,10
2462,indusial,8
2463,indusiate,9
2464,indusiated,10
2465,indusia,7
2466,indusium,8
2467,industrial,10
2468,industrialism,13
2469,industrially,12
2470,industrious,11
2471,industries,10
2472,industry,8
2473,indutive,8
2474,induviae,8
2475,induviate,9
2476,indwelt,7
2477,indwelling,10
2478,indwell,7
2479,indweller,9
2480,inearth,7
2481,inebriant,9
2482,inebriated,10
2483,inebriating,11
2484,inebriate,9
2485,inebriation,11
2486,inebriety,9
2487,inebrious,9
2488,inedited,8
2489,inee,4
2490,ineffability,12
2491,ineffable,9
2492,ineffableness,13
2493,ineffably,9
2494,ineffaceable,12
2495,ineffaceably,12
2496,ineffectible,12
2497,ineffective,11
2498,ineffectively,13
2499,ineffectiveness,15
2500,ineffectual,11
2501,ineffectuality,14
2502,ineffectually,13
2503,ineffectualness,15
2504,ineffervescence,15
2505,ineffervescent,14
2506,ineffervescibility,18
2507,ineffervescible,15
2508,inefficacious,13
2509,inefficaciously,15
2510,inefficaciousness,17
2511,inefficacy,10
2512,inefficiency,12
2513,inefficient,11
2514,inefficiently,13
2515,inelaborate,11
2516,inelastic,9
2517,inelasticity,12
2518,inelegances,11
2519,inelegancies,12
2520,inelegance,10
2521,inelegancy,10
2522,inelegant,9
2523,inelegantly,11
2524,ineligibility,13
2525,ineligible,10
2526,inelligibly,11
2527,ineloquent,10
2528,ineloquently,12
2529,ineluctable,11
2530,ineludible,10
2531,inembryonate,12
2532,inernarrable,12
2533,inept,5
2534,ineptitude,10
2535,ineptly,7
2536,ineptness,9
2537,inequable,9
2538,inequal,7
2539,inequalities,12
2540,inequality,10
2541,inequation,10
2542,inequidistant,13
2543,inequilateral,13
2544,inequilobate,12
2545,inequitable,11
2546,inequitate,10
2547,inequity,8
2548,inequivalve,11
2549,inequivalvular,14
2550,ineradicable,12
2551,ineradicably,12
2552,inergetic,9
2553,inergetical,11
2554,inergetically,13
2555,inerm,5
2556,inermous,8
2557,inermis,7
2558,inerrability,12
2559,inerrable,9
2560,inerrableness,13
2561,inerrably,9
2562,inerrancy,9
2563,inerratic,9
2564,inerringly,10
2565,inert,5
2566,inertia,7
2567,inertion,8
2568,inertitude,10
2569,inertly,7
2570,inertness,9
2571,inerudite,9
2572,inescapable,11
2573,inescate,8
2574,inescation,10
2575,inescutcheon,12
2576,inessential,11
2577,inestimable,11
2578,inestimably,11
2579,inevasible,10
2580,inevidence,10
2581,inevident,9
2582,inevitability,13
2583,inevitable,10
2584,inevitableness,14
2585,inevitably,10
2586,inexact,7
2587,inexactitude,12
2588,inexactly,9
2589,inexactness,11
2590,inexcitability,14
2591,inexcitable,11
2592,inexcusable,11
2593,inexcusableness,15
2594,inexcusably,11
2595,inexecrable,11
2596,inexecutable,12
2597,inexecution,11
2598,inexertion,10
2599,inexhalable,11
2600,inexhausted,11
2601,inexhaustedly,13
2602,inexhaustibility,16
2603,inexhaustible,13
2604,inexhaustive,12
2605,inexist,7
2606,inexistant,10
2607,inexistence,11
2608,inexistent,10
2609,inexorability,13
2610,inexorable,10
2611,inexorableness,14
2612,inexorably,10
2613,inexpansible,12
2614,inexpectable,12
2615,inexpectant,11
2616,inexpectation,13
2617,inexpected,10
2618,inexpectedly,12
2619,inexpectedness,14
2620,inexpedience,12
2621,inexpediency,12
2622,inexpedient,11
2623,inexpediently,13
2624,inexpensive,11
2625,inexperience,12
2626,inexperienced,13
2627,inexpert,8
2628,inexpertness,12
2629,inexpiable,10
2630,inexpiableness,14
2631,inexpiably,10
2632,inexpiate,9
2633,inexplainable,13
2634,inexpleably,11
2635,inexplicability,15
2636,inexplicable,12
2637,inexplicableness,16
2638,inexplicably,12
2639,inexplicit,10
2640,inexplorable,12
2641,inexplosive,11
2642,inexposure,10
2643,inexpressible,13
2644,inexpressibles,14
2645,inexpressibly,13
2646,inexpressive,12
2647,inexpressiveness,16
2648,inexpugnable,12
2649,inexpugnably,12
2650,inexsuperable,13
2651,inextended,10
2652,inextensible,12
2653,inextension,11
2654,inexterminable,14
2655,inextinct,9
2656,inextinguible,13
2657,inextinguishable,16
2658,inextinguishably,16
2659,inextirpable,12
2660,inextricable,12
2661,inextricableness,16
2662,inextricably,12
2663,ineyed,6
2664,ineyeing,8
2665,ineye,5
2666,infabricated,12
2667,infallibilist,13
2668,infallibility,13
2669,infallible,10
2670,infallibleness,14
2671,infallibly,10
2672,infame,6
2673,infamized,9
2674,infamizing,10
2675,infamize,8
2676,infamous,8
2677,infamously,10
2678,infamousness,12
2679,infamies,8
2680,infamy,6
2681,infancy,7
2682,infandous,9
2683,infangthef,10
2684,infant,6
2685,infanta,7
2686,infante,7
2687,infanthood,10
2688,infanticidal,12
2689,infanticide,11
2690,infantile,9
2691,infantine,9
2692,infantlike,10
2693,infantly,8
2694,infantry,8
2695,infarce,7
2696,infarction,10
2697,infare,6
2698,infashionable,13
2699,infatigable,11
2700,infatuate,9
2701,infatuated,10
2702,infatuating,11
2703,infatuation,11
2704,infaust,7
2705,infausting,10
2706,infeasibility,13
2707,infeasible,10
2708,infeasibleness,14
2709,infect,6
2710,infected,8
2711,infecting,9
2712,infecter,8
2713,infectible,10
2714,infection,9
2715,infectious,10
2716,infectiously,12
2717,infectiousness,14
2718,infective,9
2719,infecund,8
2720,infecundity,11
2721,infecundous,11
2722,infeeble,8
2723,infelicitous,12
2724,infelicities,12
2725,infelicity,10
2726,infelonious,11
2727,infelt,6
2728,infeodation,11
2729,infeoff,7
2730,infeoffment,11
2731,inferred,8
2732,inferring,9
2733,infer,5
2734,inferable,9
2735,inference,9
2736,inferential,11
2737,inferentially,13
2738,inferiae,8
2739,inferior,8
2740,inferiority,11
2741,inferiorly,10
2742,infernal,8
2743,infernally,10
2744,inferobranchian,15
2745,inferobranchiata,16
2746,inferobranchiate,16
2747,inferrible,10
2748,infertile,9
2749,infertilely,11
2750,infertility,11
2751,infest,6
2752,infested,8
2753,infesting,9
2754,infesttation,12
2755,infester,8
2756,infestive,9
2757,infestivity,11
2758,infestuous,10
2759,infeudation,11
2760,infibulation,12
2761,infidel,7
2762,infidelities,12
2763,infidelity,10
2764,infield,7
2765,infile,6
2766,infilm,6
2767,infiltered,10
2768,infiltering,11
2769,infilter,8
2770,infiltrated,11
2771,infiltrating,12
2772,infiltrate,10
2773,infiltration,12
2774,infiltrative,12
2775,infinite,8
2776,infinitely,10
2777,infiniteness,12
2778,infinitesimal,13
2779,infinitesimally,15
2780,infinitival,11
2781,infinitive,10
2782,infinito,8
2783,infinitude,10
2784,infinituple,11
2785,infinities,10
2786,infinity,8
2787,infirm,6
2788,infirmarian,11
2789,infirmaries,11
2790,infirmary,9
2791,infirmative,11
2792,infirmatory,11
2793,infirmities,11
2794,infirmity,9
2795,infirmly,8
2796,infirmness,10
2797,infixed,7
2798,infixing,8
2799,infix,5
2800,inflamed,8
2801,inflaming,9
2802,inflame,7
2803,inflamer,8
2804,inflammabillty,14
2805,inflammable,11
2806,inflammableness,15
2807,inflammbly,10
2808,inflammation,12
2809,inflammative,12
2810,inflammatory,12
2811,inflatable,10
2812,inflate,7
2813,inflated,8
2814,inflating,9
2815,inflater,8
2816,inflatingly,11
2817,inflation,9
2818,inflationist,12
2819,inflatus,8
2820,inflected,9
2821,inflecting,10
2822,inflect,7
2823,inflection,10
2824,inflectional,12
2825,inflective,10
2826,inflesh,7
2827,inflex,6
2828,inflexed,8
2829,inflexibility,13
2830,inflexible,10
2831,inflexibleness,14
2832,inflexibly,10
2833,inflexion,9
2834,inflexive,9
2835,inflexure,9
2836,inflicted,9
2837,inflicting,10
2838,inflict,7
2839,inflicter,9
2840,infliction,10
2841,inflictive,10
2842,inflorescence,13
2843,inflow,6
2844,influence,9
2845,influenced,10
2846,influencing,11
2847,influencer,10
2848,influencive,11
2849,influent,8
2850,inflential,10
2851,influentially,13
2852,influenza,9
2853,influx,6
2854,influxion,9
2855,influxious,10
2856,influxive,9
2857,influxively,11
2858,infolded,8
2859,infolding,9
2860,infold,6
2861,infoldment,10
2862,infoliate,9
2863,inform,6
2864,informed,8
2865,informing,9
2866,informal,8
2867,informalities,13
2868,informality,11
2869,informally,10
2870,informant,9
2871,information,11
2872,informative,11
2873,informatory,11
2874,informer,8
2875,informidable,12
2876,informity,9
2877,informous,9
2878,infortunate,11
2879,infortune,9
2880,infortuned,10
2881,infound,7
2882,infra,5
2883,infrabranchial,14
2884,infraclavicular,15
2885,infract,7
2886,infracted,9
2887,infracting,10
2888,infractible,11
2889,infraction,10
2890,infractor,9
2891,infragrant,10
2892,infrahyoid,10
2893,infralabial,11
2894,infralapsarian,14
2895,infralapsarianism,17
2896,inframarginal,13
2897,inframaxillary,14
2898,inframedian,11
2899,inframundane,12
2900,infranchise,11
2901,infrangibility,14
2902,infrangible,11
2903,infrangibleness,15
2904,infraocular,11
2905,infraorbital,12
2906,infrapose,9
2907,infraposition,13
2908,infrascapular,13
2909,infraspinal,11
2910,infraspinate,12
2911,infraspinous,12
2912,infrastapedial,14
2913,infrasternal,12
2914,infratemporal,13
2915,infraterritorial,16
2916,infratrochlear,14
2917,infrequence,11
2918,infrequency,11
2919,infrequent,10
2920,infrequently,12
2921,infrigidate,11
2922,infrigidation,13
2923,infringed,9
2924,infringing,10
2925,infringe,8
2926,infringement,12
2927,infringer,9
2928,infructuose,11
2929,infrugal,8
2930,infrugiferous,13
2931,infucate,8
2932,infucation,10
2933,infule,6
