,V,Length
1574,volkslieder,11
1575,volkslied,9
1576,volleys,7
1577,volley,6
1578,volleyed,8
1579,volleying,9
1580,volow,5
1581,volt,4
1582,volte,5
1583,volta,5
1584,voltage,7
1585,voltagraphy,11
1586,voltaic,7
1587,voltairean,10
1588,voltairism,10
1589,voltaism,8
1590,voltameter,10
1591,voltaplast,10
1592,voltatype,9
1593,volti,5
1594,voltigeur,9
1595,voltmeter,9
1596,voltzite,8
1597,volubilate,10
1598,volubile,8
1599,volubility,10
1600,voluble,7
1601,volume,6
1602,volumed,7
1603,volumenometer,13
1604,volumenometry,13
1605,volumescope,11
1606,volumeter,9
1607,volumetric,10
1608,volumetrical,12
1609,voluminous,10
1610,volumist,8
1611,voluntarily,11
1612,voluntariness,13
1613,voluntary,9
1614,voluntaries,11
1615,voluntaryism,12
1616,volunteer,9
1617,volunteered,11
1618,volunteering,12
1619,volupere,8
1620,voluptuaries,12
1621,voluptuary,10
1622,voluptuous,10
1623,volupty,7
1624,volutas,7
1625,volutae,7
1626,voluta,6
1627,volutation,10
1628,volute,6
1629,voluted,7
1630,volution,8
1631,volva,5
1632,volvox,6
1633,volvulus,8
1634,volyer,6
1635,vomer,5
1636,vomerine,8
1637,vomica,6
1638,vomicine,8
1639,vomited,7
1640,vomiting,8
1641,vomit,5
1642,vomition,8
1643,vomitive,8
1644,vomito,6
1645,vomitory,8
1646,vomitories,10
1647,vomiturition,12
1648,vondsira,8
1649,voodoo,6
1650,voodooism,9
1651,voracious,9
1652,voracity,8
1653,voraginous,10
1654,vortexes,8
1655,vortices,8
1656,vortex,6
1657,vortical,8
1658,vorticel,8
1659,vorticellas,11
1660,vorticellae,11
1661,vorticella,10
1662,vorticose,9
1663,vortiginous,11
1664,votaress,8
1665,votarist,8
1666,votary,6
1667,votaries,8
1668,vote,4
1669,voted,5
1670,voting,6
1671,voter,5
1672,votist,6
1673,votive,6
1674,votress,7
1675,vouched,7
1676,vouching,8
1677,vouch,5
1678,vouchee,7
1679,voucher,7
1680,vouchment,9
1681,vouch/or,8
1682,vouchsafed,10
1683,vouchsafing,11
1684,vouchsafe,9
1685,vouchsafement,13
1686,voussoir,8
1687,vow,3
1688,vowed,5
1689,vowing,6
1690,vowel,5
1691,voweled,7
1692,vowelish,8
1693,vowelism,8
1694,vowelize,8
1695,vower,5
1696,vox,3
1697,voyage,6
1698,voyaged,7
1699,voyaging,8
1700,voyageable,10
1701,voyager,7
1702,voyageur,8
1703,voyol,5
1704,vraisemblance,13
1705,vugg,4
1706,vugh,4
1707,vulcan,6
1708,vulcanian,9
1709,vulcanic,8
1710,vulcanicity,11
1711,vulcanism,9
1712,vulcanist,9
1713,vulcanite,9
1714,vulcanization,13
1715,vulcanized,10
1716,vulcanizing,11
1717,vulcanize,9
1718,vulcanizer,10
1719,vulcano,7
1720,vulcanology,11
1721,vulgar,6
1722,vulgarian,9
1723,vulgarism,9
1724,vulgarity,9
1725,vulgarization,13
1726,vulgarized,10
1727,vulgarizing,11
1728,vulgarize,9
1729,vulgarly,8
1730,vulgarness,10
1731,vulgate,7
1732,vulnerability,13
1733,vulnerable,10
1734,vulnerableness,14
1735,vulnerary,9
1736,vulnerate,9
1737,vulneration,11
1738,vulnerose,9
1739,vulnific,8
1740,vulnifical,10
1741,vulnose,7
1742,vulpes,6
1743,vulpic,6
1744,vulpicide,9
1745,vulpine,7
1746,vulpinic,8
1747,vulpinism,9
1748,vulpinite,9
1749,vultern,7
1750,vulture,7
1751,vulturine,9
1752,vulturish,9
1753,vulturism,9
1754,vulturous,9
1755,vulva,5
1756,vulviform,9
1757,vulvitis,8
1758,vulvovaginal,12
1759,vyce,4
