,E,Length
1559,emulous,7
1560,emulously,9
1561,emulousness,11
1562,emulsic,7
1563,emulsify,8
1564,emulsin,7
1565,emulsion,8
1566,emulsive,8
1567,emunctories,11
1568,emunctory,9
1569,emuscation,10
1570,emyds,5
1571,emyd//,6
1572,emyd,4
1573,emydea,6
1574,en,2
1575,enabled,7
1576,enabling,8
1577,enable,6
1578,enablement,10
1579,enacted,7
1580,enacting,8
1581,enact,5
1582,enactive,8
1583,enactment,9
1584,enactor,7
1585,enacture,8
1586,enaliosaur,10
1587,enaliosauria,12
1588,enaliosaurian,13
1589,enallage,8
1590,enambush,8
1591,enamel,6
1592,enameled,8
1593,enamelled,9
1594,enameling,9
1595,enamelling,10
1596,enamelar,8
1597,enameler,8
1598,enamelist,9
1599,enamored,8
1600,enamoring,9
1601,enamor,6
1602,enamorment,10
1603,enantiomorphous,15
1604,enantiopathic,13
1605,enantiopathy,12
1606,enantiosis,10
1607,enarch,6
1608,enarched,8
1609,enargite,8
1610,enarmed,7
1611,enarration,10
1612,enarthrodia,11
1613,enarthrosis,11
1614,enascent,8
1615,enatation,9
1616,enate,5
1617,enation,7
1618,enaunter,8
1619,enavigate,9
1620,enbattled,9
1621,enbibe,6
1622,enbroude,8
1623,encaged,7
1624,engaging,8
1625,encage,6
1626,encalendar,10
1627,encamped,8
1628,encamping,9
1629,encamp,6
1630,encampment,10
1631,encanker,8
1632,encapsulation,13
1633,encarnalize,11
1634,encarpus,8
1635,encase,6
1636,encasement,10
1637,encash,6
1638,encashment,10
1639,encauma,7
1640,encaustic,9
1641,encave,6
1642,enceinte,8
1643,encenia,7
1644,encense,7
1645,encephalic,10
1646,encephalitis,12
1647,encephalocele,13
1648,encephaloid,11
1649,encephalology,13
1650,encephalon,10
1651,encephalopathy,14
1652,encephalos,10
1653,encephalotomy,13
1654,encephalous,11
1655,enchafe,7
1656,enchafing,9
1657,enchain,7
1658,enchainment,11
1659,enchair,7
1660,enchannel,9
1661,enchanted,9
1662,enchanting,10
1663,enchant,7
1664,enchanter,9
1665,enchantment,11
1666,enchantress,11
1667,encharged,9
1668,encharging,10
1669,encharge,8
1670,enchased,8
1671,enchasing,9
1672,enchase,7
1673,enchaser,8
1674,enchasten,9
1675,encheson,8
1676,encheason,9
1677,enchest,7
1678,enchiridion,11
1679,enchisel,8
1680,enchodus,8
1681,enchondroma,11
1682,enchorial,9
1683,enchoric,8
1684,enchylemma,10
1685,enchyma,7
1686,encincture,10
1687,encindered,10
1688,encircled,9
1689,encircling,10
1690,encircle,8
1691,encirclet,9
1692,enclasp,7
1693,enclave,7
1694,enclavement,11
1695,enclitic,8
1696,enclitical,10
1697,enclitically,12
1698,enclitics,9
1699,encloister,10
1700,enclose,7
1701,enclosure,9
1702,enclothe,8
1703,encloud,7
1704,encoach,7
1705,encoffin,8
1706,encolden,8
1707,encollar,8
1708,encolor,7
1709,encolure,8
1710,encomber,8
1711,encomberment,12
1712,encomiast,9
1713,encomiastic,11
1714,encomiastical,13
1715,encomion,8
1716,encomiums,9
1717,encomium,8
1718,encompassed,11
1719,encompassing,12
1720,encompass,9
1721,encompassment,13
1722,encore,6
1723,encored,7
1724,encoring,8
1725,encorporing,11
1726,encoubert,9
1727,encountered,11
1728,encountering,12
1729,encounter,9
1730,encounterer,11
1731,encouraged,10
1732,encouraging,11
1733,encourage,9
1734,encouragement,13
1735,encourager,10
1736,encowl,6
1737,encradle,8
1738,encratite,9
1739,encrease,8
1740,encrimson,9
1741,encrinic,8
1742,encrinal,8
1743,encrinital,10
1744,encrinite,9
1745,encrinitic,10
1746,encrinitical,12
1747,encrinoidea,11
1748,encrini,7
1749,encrinus,8
1750,encrisped,9
1751,encroached,10
1752,encroaching,11
1753,encroach,8
1754,encroacher,10
1755,encroachingly,13
1756,encroachment,12
1757,encrust,7
1758,encrustment,11
1759,encumbered,10
1760,encumbering,11
1761,encumber,8
1762,encumberment,12
1763,encumbrance,11
1764,encumbrancer,12
1765,encurtain,9
1766,encyclic,8
1767,encyclical,10
1768,encyclopedia,12
1769,encyclopaedia,13
1770,encyclopediacal,15
1771,encyclopedian,13
1772,encyclopedic,12
1773,encyclopedical,14
1774,encyclopedism,13
1775,encyclopedist,13
1776,encyst,6
1777,encystation,11
1778,encysted,8
1779,encystment,10
1780,end,3
1781,ended,5
1782,ending,6
1783,endable,7
1784,endamaged,9
1785,endamaging,10
1786,endamage,8
1787,endamageable,12
1788,endamagement,12
1789,endamnify,9
1790,endangered,10
1791,endangering,11
1792,endanger,8
1793,endangerment,12
1794,endark,6
1795,endaspidean,11
1796,endazzle,8
1797,endeared,8
1798,endearing,9
1799,endear,6
1800,endearedly,10
1801,endearedness,12
1802,endearment,10
1803,endeavored,10
1804,endeavoring,11
1805,endeavor,8
1806,endeavorer,10
1807,endeavorment,12
1808,endecagon,9
1809,endecagynous,12
1810,endecane,8
1811,endecaphyllous,14
1812,endeictic,9
1813,endeixis,8
1814,endemial,8
1815,endemic,7
1816,endemical,9
1817,endemically,11
1818,endemiology,11
1819,endenization,12
1820,endenize,8
1821,endenizen,9
1822,ender,5
1823,endermatic,10
1824,endermic,8
1825,endermically,12
1826,enderon,7
1827,endiademed,10
1828,endiaper,8
1829,endict,6
1830,endictment,10
1831,endite,6
1832,endive,6
1833,endless,7
1834,endlessly,9
1835,endlessness,11
1836,endlong,7
1837,endmost,7
1838,endoblast,9
1839,endoblastic,11
1840,endocardiac,11
1841,endocardial,11
1842,endocarditis,12
1843,endocardium,11
1844,endocarp,8
1845,endochondral,12
1846,endochrome,10
1847,endoctrine,10
1848,endocyst,8
1849,endoderm,8
1850,endodermal,10
1851,endodermic,10
1852,endodermis,10
1853,endogamous,10
1854,endogamy,8
1855,endogen,7
1856,endogenesis,11
1857,endogenetic,11
1858,endogenous,10
1859,endogenously,12
1860,endogeny,8
1861,endognath,9
1862,endognathal,11
1863,endolymph,9
1864,endolymphangial,15
1865,endolymphatic,13
1866,endome,6
1867,endometritis,12
1868,endometrium,11
1869,endomorph,9
1870,endomysium,10
1871,endoneurium,11
1872,endoparasite,12
1873,endophloeum,11
1874,endophragma,11
1875,endophragmal,12
1876,endophyllous,12
1877,endoplasm,9
1878,endoplasma,10
1879,endoplast,9
1880,endoplastica,12
1881,endoplastule,12
1882,endopleura,10
1883,endopleurite,12
1884,endopodite,10
1885,endorhizae,10
1886,endorhiza,9
1887,endorhizal,10
1888,endorhizous,11
1889,endorsed,8
1890,endorsing,9
1891,endorse,7
1892,endorsee,8
1893,endorsement,11
1894,endorser,8
1895,endosarc,8
1896,endoscope,9
1897,endoscopy,9
1898,endoskeletal,12
1899,endoskeleton,12
1900,endosmometer,12
1901,endosmometric,13
1902,endosmose,9
1903,endosmosis,10
1904,endosmosmic,11
1905,endosmotic,10
1906,endosperm,9
1907,endospermic,11
1908,endospore,9
1909,endosporous,11
1910,endoss,6
1911,endosteal,9
1912,endosternite,12
1913,endosteum,9
1914,endostoma,9
1915,endostome,9
1916,endostosis,10
1917,endostyle,9
1918,endotheca,9
1919,endothecium,11
1920,endothelial,11
1921,endothelia,10
1922,endothelium,11
1923,endotheloid,11
1924,endothorax,10
1925,endowed,7
1926,endowing,8
1927,endow,5
1928,endower,7
1929,endowment,9
1930,endozoa,7
1931,endrudge,8
1932,endued,6
1933,enduing,7
1934,endue,5
1935,enduement,9
1936,endurable,9
1937,endurably,9
1938,endurance,9
1939,endurant,8
1940,endured,7
1941,enduring,8
1942,endure,6
1943,endurement,10
1944,endurer,7
1945,endways,7
1946,endwise,7
1947,endyma,6
1948,endyses,7
1949,endysis,7
1950,enecate,7
1951,eneid,5
1952,enemata,7
1953,enema,5
1954,enemies,7
1955,enemy,5
1956,enepidermic,11
1957,energetic,9
1958,energetical,11
1959,energetics,10
1960,energic,7
1961,energical,9
1962,energized,9
1963,energizing,10
1964,energize,8
1965,energizer,9
1966,energumen,9
1967,energies,8
1968,energy,6
1969,enervated,9
1970,enervating,10
1971,enervate,8
1972,enervation,10
1973,enervative,10
1974,enerve,6
1975,enervous,8
1976,enfamish,8
1977,enfect,6
1978,enfeebled,9
1979,enfeebling,10
1980,enfeeble,8
1981,enfeeblement,12
1982,enfeebler,9
1983,enfeeblish,10
1984,enfeloned,9
1985,enfeoffed,9
1986,enfeoffing,10
1987,enfeoff,7
1988,enfeoffment,11
1989,enfester,8
1990,enfetter,8
1991,enfever,7
1992,enfierced,9
1993,enfiercing,10
1994,enfierce,8
1995,enfilade,8
1996,enfiladed,9
1997,enfilading,10
1998,enfiled,7
1999,enfire,6
2000,enflesh,7
2001,enflowered,10
2002,enflowering,11
2003,enflower,8
2004,enfold,6
2005,enfoldment,10
2006,enforced,8
2007,enforcing,9
2008,enforce,7
2009,enforceable,11
2010,enforcement,11
2011,enforcer,8
2012,enforcible,10
2013,enforcive,9
2014,enforest,8
2015,enform,6
2016,enfouldred,10
2017,enframe,7
2018,enfranchised,12
2019,enfranchising,13
2020,enfranchise,11
2021,enfranchisement,15
2022,enfranchiser,12
2023,enfree,6
2024,enfreedom,9
2025,enfreeze,8
2026,enfroward,9
2027,engaged,7
2028,engage,6
2029,engagedly,9
2030,engagedness,11
2031,engagement,10
2032,engager,7
2033,engallant,9
2034,engaol,6
2035,engarboil,9
2036,engarland,9
2037,engarrison,10
2038,engastrimuth,12
2039,engendered,10
2040,engendering,11
2041,engender,8
2042,engendrure,10
2043,engild,6
2044,engine,6
2045,engineer,8
2046,engineered,10
2047,engineering,11
2048,enginemen,9
2049,engineman,9
2050,enginer,7
2051,enginery,8
2052,enginous,8
2053,engirded,8
2054,engirt,6
2055,engirding,9
2056,engird,6
2057,engirdle,8
2058,engiscope,9
2059,englaimed,9
2060,engle,5
2061,english,7
2062,englished,9
2063,englishing,10
2064,englishable,11
2065,englishism,10
2066,englishmen,10
2067,englishman,10
2068,englishry,9
2069,englishwomen,12
2070,englishwoman,12
2071,engloom,7
2072,englue,6
2073,englutted,9
2074,englutting,10
2075,englut,6
2076,engore,6
2077,engorged,8
2078,engorging,9
2079,engorge,7
2080,engorgement,11
2081,engouled,8
2082,engoulee,8
2083,engraff,7
2084,engraffment,11
2085,engraft,7
2086,engraftation,12
2087,engraftment,11
2088,engrailed,9
2089,engrailing,10
2090,engrail,7
2091,engrailment,11
2092,engrained,9
2093,engraining,10
2094,engrain,7
2095,engrapple,9
2096,engrasped,9
2097,engrasping,10
2098,engrasp,7
2099,engrave,7
2100,engraved,8
2101,engraven,8
2102,engraving,9
2103,engravement,11
2104,engraver,8
2105,engravery,9
2106,engregge,8
2107,engrieve,8
2108,engrossed,9
2109,engrossing,10
2110,engross,7
2111,engrosser,9
2112,engrossment,11
2113,enguard,7
2114,engulfed,8
2115,engulfing,9
2116,engulf,6
2117,engulfment,10
2118,engyn,5
2119,enhalo,6
2120,enhanced,8
2121,enhancing,9
2122,enhance,7
2123,enhancement,11
2124,enhancer,8
2125,enharbor,8
2126,enharden,8
2127,enharmonic,10
2128,enharmonical,12
2129,enharmonically,14
2130,enhearten,9
2131,enhedge,7
2132,enhort,6
2133,enhunger,8
2134,enhydros,8
2135,enhydrous,9
2136,enigmas,7
2137,enigma,6
2138,enigmatic,9
2139,enigmatical,11
2140,enigmatically,13
2141,enigmatist,10
2142,enigmatized,11
2143,enigmatizing,12
2144,enigmatize,10
2145,enigmatography,14
2146,enigmatology,12
2147,enisled,7
2148,enjailed,8
2149,enjailing,9
2150,enjall,6
2151,enjoined,8
2152,enjoining,9
2153,enjoin,6
2154,enjoiner,8
2155,enjoinment,10
2156,enjoyed,7
2157,enjoying,8
2158,enjoy,5
2159,enjoyable,9
2160,enjoyer,7
2161,enjoyment,9
2162,enkennel,8
2163,enkerchiefed,12
2164,enkindled,9
2165,enkindling,10
2166,enkindle,8
2167,enlace,6
2168,enlacement,10
2169,enlard,6
2170,enlarged,8
2171,enlarging,9
2172,enlarge,7
2173,enlargement,11
2174,enlarger,8
2175,enlay,5
2176,enlengthen,10
2177,enleven,7
2178,enlight,7
2179,enlighten,9
2180,enlightener,11
2181,enlightenment,13
2182,enlimn,6
2183,enlink,6
2184,enlisted,8
2185,enlisting,9
2186,enlist,6
2187,enlistment,10
2188,enlive,6
2189,enlivened,9
2190,enlivening,10
2191,enliven,7
2192,enlivener,9
2193,enlock,6
2194,enlumine,8
2195,enlute,6
2196,enmanche,8
2197,enmarble,8
2198,enmesh,6
2199,enmew,5
2200,enmist,6
2201,enmities,8
2202,enmity,6
2203,enmossed,8
2204,enmove,6
2205,enmuffle,8
2206,enmure,6
2207,ennation,8
2208,ennead,6
2209,enneagon,8
2210,enneagonal,10
2211,enneagynous,11
2212,enheahedral,11
2213,enheahedria,11
2214,enheahedron,11
2215,enneandria,10
2216,enneandrian,11
2217,enneandrous,11
2218,enneapetalous,13
2219,enneaspermous,13
2220,enneatic,8
2221,enneatical,10
2222,ennew,5
2223,enniche,7
2224,ennobled,8
2225,ennobling,9
2226,ennoble,7
2227,ennoblement,11
2228,ennobler,8
2229,ennui,5
2230,ennuye,6
2231,ennuyee,7
2232,enodal,6
2233,enodation,9
2234,enode,5
2235,enoint,6
2236,enomotarch,10
2237,enomoty,7
2238,enopla,6
2239,enoptomancy,11
2240,enorm,5
2241,enormities,10
2242,enormity,8
2243,enormous,8
2244,enormously,10
2245,enormousness,12
2246,enorthotrope,12
2247,enough,6
2248,enounced,8
2249,enouncing,9
2250,enounce,7
2251,enouncement,11
2252,enow,4
2253,enpatron,8
2254,enpierce,8
2255,enquere,7
2256,enquicken,9
2257,enquire,7
2258,enquirer,8
2259,enquiry,7
2260,enrace,6
2261,enraged,7
2262,enraging,8
2263,enrage,6
2264,enragement,10
2265,enrange,7
2266,enrank,6
2267,enrapt,6
2268,enraptured,10
2269,enrapturing,11
2270,enrapture,9
2271,enravish,8
2272,enravishingly,13
2273,enravishment,12
2274,enregister,10
2275,enrheum,7
2276,enriched,8
2277,enriching,9
2278,enrich,6
2279,enricher,8
2280,enrichment,10
2281,enridge,7
2282,enring,6
2283,enripen,7
2284,enrive,6
2285,enrobe,6
2286,enrockment,10
2287,enrolled,8
2288,enrolling,9
2289,enroll,6
2290,enroller,8
2291,enrollment,10
2292,enroot,6
2293,enround,7
2294,ens,3
2295,ensafe,6
2296,ensample,8
2297,ensanguine,10
2298,ensate,6
2299,enscale,7
2300,enshedule,9
2301,ensconced,9
2302,ensconcing,10
2303,ensconce,8
2304,enseal,6
2305,enseam,6
2306,ensear,6
2307,ensearch,8
2308,enseel,6
2309,enseint,7
2310,ensemble,8
2311,enshelter,9
2312,enshield,8
2313,enshrined,9
2314,enshrining,10
2315,enshrine,8
2316,enshroud,8
2317,ensiferous,10
2318,ensiform,8
2319,ensign,6
2320,ensigncies,10
2321,ensigncy,8
2322,ensignship,10
2323,ensilage,8
2324,ensilaged,9
2325,ensilaging,10
2326,ensky,5
2327,enslaved,8
2328,enslaving,9
2329,enslave,7
2330,enslavedness,12
2331,enslavement,11
2332,enslaver,8
2333,ensnare,7
2334,ensnarl,7
2335,ensober,7
2336,ensoul,6
2337,ensphere,8
2338,enstamp,7
2339,enstate,7
2340,enstatite,9
2341,enstatitic,10
2342,enstore,7
2343,enstyle,7
2344,ensuable,8
2345,ensued,6
2346,ensuing,7
2347,ensue,5
2348,ensure,6
2349,ensurer,7
2350,enswathe,8
2351,enswathement,12
2352,ensweep,7
2353,entablature,11
2354,entablement,11
2355,entackle,8
2356,entad,5
2357,entail,6
2358,entailed,8
2359,entailing,9
2360,entailment,10
2361,ental,5
2362,entame,6
2363,entangled,9
2364,entangling,10
2365,entangle,8
2366,entanglement,12
2367,entangler,9
2368,entasia,7
2369,entasis,7
2370,entassment,10
2371,entastic,8
2372,entelechy,9
2373,entellus,8
2374,entend,6
2375,entender,8
2376,ententive,9
2377,entered,7
2378,entering,8
2379,enter,5
2380,enteradenography,16
2381,enteradenology,14
2382,enteralgia,10
2383,enterdeal,9
2384,enterer,7
2385,enteric,7
2386,enteritis,9
2387,enterlace,9
2388,entermete,9
2389,entermewer,10
2390,entermise,9
2391,enterocele,10
2392,enterocoele,11
2393,enterography,12
2394,enterolith,10
2395,enterology,10
2396,enteron,7
2397,enteropathy,11
2398,enteropneusta,13
2399,enterorrhaphy,13
2400,enterotome,10
2401,enterotomy,10
2402,enterparlance,13
2403,enterplead,10
2404,enterprise,10
2405,enterpriser,11
2406,enterprising,12
2407,entertained,11
2408,entertaining,12
2409,entertain,9
2410,entertainer,11
2411,entertainment,13
2412,entertake,9
2413,entertissued,12
2414,entheal,7
2415,enthean,7
2416,entheasm,8
2417,entheastic,10
2418,entheat,7
2419,enthelmintha,12
2420,enthelminthes,13
2421,entheic,7
2422,enthrall,8
2423,enthrallment,12
2424,enthrill,8
2425,enthrone,8
2426,enthronement,12
2427,enthronization,14
2428,enthronized,11
2429,enthronizing,12
2430,enthronize,10
2431,enthuse,7
2432,enthusiasm,10
2433,enthusiast,10
2434,enthusiastic,12
2435,enthusiastical,14
2436,enthymematic,12
2437,enthymematical,14
2438,enthymeme,9
2439,enticed,7
2440,enticing,8
2441,entice,6
2442,enticeable,10
2443,enticement,10
2444,enticer,7
2445,enticingly,10
2446,entierty,8
2447,entire,6
2448,entirely,8
2449,entireness,10
2450,entirety,8
2451,entitative,10
2452,entitled,8
2453,entitling,9
2454,entitle,7
2455,entitule,8
2456,entities,8
2457,entity,6
2458,entoblast,9
2459,entobronchia,12
2460,entobronchium,13
2461,entocuneiform,13
2462,entocuniform,12
2463,entoderm,8
2464,entodermal,10
2465,entodermic,10
2466,entogastric,11
2467,entogenous,10
2468,entoglossal,11
2469,entoiled,8
2470,entoiling,9
2471,entoil,6
2472,entombed,8
2473,entombing,9
2474,entomb,6
2475,entombment,10
2476,entomere,8
2477,entomic,7
2478,entomical,9
2479,entomoid,8
2480,entomolin,9
2481,entomolite,10
2482,entomologic,11
2483,entomological,13
2484,entomologist,12
2485,entomologize,12
2486,entomologies,12
2487,entomology,10
2488,entomophaga,11
2489,entomophagan,12
2490,entomophagous,13
2491,entomophilous,13
2492,entomostraca,12
2493,entomostracan,13
2494,entomostracous,14
2495,entomotomist,12
2496,entomotomy,10
2497,entonic,7
2498,entoperipheral,14
2499,entophyte,9
2500,entophytic,10
2501,entoplasm,9
2502,entoplastic,11
2503,entoplastra,11
2504,entoplastron,12
2505,entoprocta,10
2506,entoptic,8
2507,entorganism,11
2508,entortilation,13
2509,entosterna,10
2510,entosternum,11
2511,entosthoblast,13
2512,entothorax,10
2513,entotic,7
2514,entozoa,7
2515,entozoal,8
2516,entozoic,8
2517,entozoologist,13
2518,entozoon,8
2519,entrail,7
2520,entrails,8
2521,entrain,7
2522,entrammel,9
2523,entrance,8
2524,entranced,9
2525,entrancing,10
2526,entrancement,12
2527,entrant,7
2528,entrapped,9
2529,entrapping,10
2530,entrap,6
2531,entreated,9
2532,entreating,10
2533,entreat,7
2534,entreatable,11
2535,entreatance,11
2536,entreater,9
2537,entreatful,10
2538,entreatingly,12
2539,entreative,10
2540,entreatment,11
2541,entreaties,10
2542,entreaty,8
2543,entree,6
2544,entremets,9
2545,entrench,8
2546,entrepot,8
2547,entrepreneur,12
2548,entresol,8
2549,entrick,7
2550,entrochal,9
2551,entrochite,10
2552,entropion,9
2553,entropium,9
2554,entropy,7
2555,entrust,7
2556,entries,7
2557,entry,5
2558,entryng,7
2559,entune,6
2560,entwine,7
2561,entwinement,11
2562,entwist,7
2563,enubilate,9
2564,enubilous,9
2565,enucleated,10
2566,enucleating,11
2567,enucleate,9
2568,enucleation,11
2569,enumerated,10
2570,enumerating,11
2571,enumerate,9
2572,enumeration,11
2573,enumerative,11
2574,enumerator,10
2575,enunciable,10
2576,enunciated,10
2577,enunciating,11
2578,enunciate,9
2579,enunciation,11
2580,enunciative,11
2581,enunciator,10
2582,enunciatory,11
2583,enure,5
2584,enuresis,8
2585,envassal,8
2586,envault,7
2587,enveigle,8
2588,enveloped,9
2589,enveloping,10
2590,envelop,7
2591,envelope,8
2592,envelopment,11
2593,envenime,8
2594,envenomed,9
2595,envenoming,10
2596,envenom,7
2597,envermeil,9
2598,enviable,8
2599,envie,5
2600,envier,6
2601,envigor,7
2602,envious,7
2603,environed,9
2604,environing,10
2605,environ,7
2606,environment,11
2607,environs,8
2608,envisaged,9
2609,envisaging,10
2610,envisage,8
2611,envisagement,12
2612,envolume,8
2613,envolup,7
2614,envoy,5
2615,envoyship,9
2616,envies,6
2617,envy,4
2618,envied,6
2619,envying,7
2620,envyned,7
2621,enwall,6
2622,enwallow,8
2623,enwheel,7
2624,enwiden,7
2625,enwind,6
2626,enwoman,7
2627,enwombed,8
2628,enwombing,9
2629,enwomb,6
2630,enwrap,6
2631,enwrapment,10
2632,enwreathe,9
2633,enzootic,8
2634,enzyme,6
2635,eocene,6
2636,eolian,6
2637,eolic,5
2638,eolipile,8
2639,eolis,5
2640,eon,3
2641,aeon,4
2642,eophyte,7
2643,eophytic,8
2644,eos,3
2645,eosaurus,8
2646,eosin,5
2647,eosphorite,10
2648,eozoic,6
2649,eozoons,7
2650,eozoa,5
2651,eozoon,6
2652,eozoonal,8
2653,epacris,7
2654,epact,5
2655,epagoge,7
2656,epagogic,8
2657,epalate,7
2658,epanadiplosis,13
2659,epanalepsis,11
2660,epanaphora,10
2661,epanastrophe,12
2662,epanodos,8
2663,epanody,7
2664,epanorthosis,12
2665,epanthous,9
2666,eparch,6
2667,eparchy,7
2668,eparterial,10
2669,epaule,6
2670,epaulement,10
2671,epaulet,7
2672,epaulette,9
2673,epauleted,9
2674,epauletted,10
2675,epaxial,7
2676,epeira,6
2677,epen,4
2678,epencephalic,12
2679,epencephalon,12
2680,ependyma,8
2681,ependymis,9
2682,epenetic,8
2683,epentheses,10
2684,epenthesis,10
2685,epenthetic,10
2686,epergne,7
2687,eperlan,7
2688,epexegesis,10
2689,epexegetical,12
2690,ephah,5
2691,epha,4
2692,ephemera,8
2693,ephemeral,9
2694,ephemeran,9
2695,ephemeric,9
2696,ephemerides,11
2697,ephemeris,9
2698,ephemerist,10
2699,ephemeron,9
2700,ephemerous,10
2701,ephesian,8
2702,ephialtes,9
2703,ephippial,9
2704,ephippium,9
2705,ephod,5
2706,ephors,6
2707,ephori,6
2708,ephor,5
2709,ephoral,7
2710,ephoralty,9
2711,ephraim,7
2712,ephyra,6
2713,epiblast,8
2714,epiblastic,10
2715,epiblema,8
2716,epibolic,8
2717,epiboly,7
2718,epibranchial,12
2719,epic,4
2720,epical,6
2721,epicardiac,10
2722,epicardium,10
2723,epicarican,10
2724,epicarp,7
2725,epicede,7
2726,epicedial,9
2727,epicedian,9
2728,epicedium,9
2729,epicene,7
2730,epicentral,10
2731,epicerastic,11
2732,epichiremata,12
2733,epichirema,10
2734,epichordal,10
2735,epichorial,10
2736,epicleidium,11
2737,epiclinal,9
2738,epicoele,8
2739,epicoene,8
2740,epicolic,8
2741,epicondylar,11
2742,epicondyle,10
2743,epicoracoid,11
2744,epicranial,10
2745,epicranium,10
2746,epictetain,10
2747,epicure,7
2748,epicurean,9
2749,epicureanism,12
2750,epicurely,9
2751,epicureous,10
2752,epicurism,9
2753,epicurize,9
2754,epicycle,8
2755,epicyclic,9
2756,epicycloid,10
2757,epicycloidal,12
2758,epideictic,10
2759,epidemic,8
2760,epidemical,10
2761,epidemically,12
2762,epidemiography,14
2763,epidemiological,15
2764,epidemiologist,14
2765,epidemiology,12
2766,epidemy,7
2767,epiderm,7
2768,epidermal,9
2769,epidermatic,11
2770,epidermatoid,12
2771,epidermeous,11
2772,epidermic,9
2773,epidermical,11
2774,epidermidal,11
2775,epidermis,9
2776,epidermoid,10
2777,epidermose,10
2778,epidictic,9
2779,epidictical,11
2780,epididymis,10
2781,epididymitis,12
2782,epidote,7
2783,epidotic,8
2784,epigaea,7
2785,epigaeous,9
2786,epigastrial,11
2787,epigastric,10
2788,epigastrium,11
2789,epigeal,7
2790,epigee,6
2791,epigene,7
2792,epigenesis,10
2793,epigenesist,11
2794,epigenetic,10
2795,epigeous,8
2796,epigeum,7
2797,epiglottic,10
2798,epiglottidean,13
2799,epiglottis,10
2800,epignathous,11
2801,epigram,7
2802,epigrammatic,12
2803,epigrammatical,14
2804,epigrammatically,16
2805,epigrammatist,13
2806,epigrammatized,14
2807,epigrammatizing,15
2808,epigrammatize,13
2809,epigrammatizer,14
2810,epigrammist,11
2811,epigraph,8
2812,epigraphic,10
2813,epigraphical,12
2814,epigraphics,11
2815,epigraphist,11
2816,epigraphy,9
2817,epigynous,9
2818,epihyal,7
2819,epilepsy,8
2820,epileptic,9
2821,epileptical,11
2822,epileptiform,12
2823,epileptogenous,14
2824,epileptoid,10
2825,epilogation,11
2826,epilogic,8
2827,epilogical,10
2828,epilogism,9
2829,epilogistic,11
2830,epilogize,9
2831,epilogue,8
2832,epiloguize,10
2833,epimachus,9
2834,epimera,7
2835,epimeral,8
2836,epimere,7
2837,epimeron,8
2838,epinastic,9
2839,epineural,9
2840,epineurium,10
2841,epinglette,10
2842,epinicial,9
2843,epinicion,9
2844,epinikian,9
2845,epiornis,8
2846,epiotic,7
2847,epipedometry,12
2848,epiperipheral,13
2849,epipetalous,11
2850,epiphany,8
2851,epipharyngeal,13
2852,epipharynx,10
2853,epiphonema,10
2854,epiphoneme,10
2855,epiphora,8
2856,epiphragm,9
2857,epiphylospermous,16
2858,epiphyllous,11
2859,epiphyllum,10
2860,epiphyseal,10
2861,epiphysial,10
2862,epiphyses,9
2863,epiphysis,9
2864,epiphytal,9
2865,epiphyte,8
2866,epiphytic,9
2867,epiphytical,11
2868,epiplastra,10
2869,epiplastron,11
2870,epipleural,10
2871,epiplexis,9
2872,epiploce,8
2873,epiploic,8
2874,epiploa,7
2875,epiploon,8
2876,epipodial,9
2877,epipodialia,11
2878,epipodiale,10
2879,epipodite,9
2880,epipodia,8
2881,epipodium,9
2882,epipolic,8
2883,epipolism,9
2884,epipolized,10
2885,epipteric,9
2886,epipterygoid,12
2887,epipubic,8
2888,epipubes,8
2889,epipubis,8
2890,episcopacy,10
2891,episcopal,9
2892,episcopalian,12
2893,episcopalianism,15
2894,episcopally,11
2895,episcopant,10
2896,episcoparian,12
2897,episcopate,10
2898,episcopated,11
2899,episcopating,12
2900,episcopicide,12
2901,episcopize,10
2902,episcopy,8
2903,episepalous,11
2904,episkeletal,11
2905,episodal,8
2906,episode,7
2907,episodial,9
2908,episodic,8
2909,episodical,10
2910,epispadias,10
2911,epispastic,10
2912,episperm,8
2913,epispermic,10
2914,epispore,8
2915,epistaxis,9
2916,epistemology,12
2917,episternal,10
2918,episterna,9
2919,episternum,10
2920,epistilbite,11
2921,epistle,7
2922,epistler,8
2923,epistolar,9
2924,epistolary,10
2925,epistolean,10
2926,epistoler,9
2927,epistolet,9
2928,epistolic,9
2929,epistolical,11
2930,epistolize,10
2931,epistolizer,11
2932,epistolographic,15
2933,epistolography,14
2934,epistoma,8
2935,epistome,8
2936,epistrophe,10
2937,epistyle,8
2938,episyllogism,12
2939,epitaph,7
2940,epitapher,9
2941,epitaphial,10
2942,epitaphian,10
2943,epitaphic,9
2944,epitaphist,10
2945,epitasis,8
2946,epithalamic,11
2947,epithalamiums,13
2948,epithalamia,11
2949,epithalamium,12
2950,epithalamies,12
2951,epithalamy,10
2952,epitheca,8
2953,epithelial,10
2954,epithelioid,11
2955,epithelioma,11
2956,epitheliums,11
2957,epithelia,9
2958,epithelium,10
2959,epitheloid,10
2960,epithem,7
2961,epithema,8
2962,epithesis,9
2963,epithet,7
2964,epithetic,9
2965,epithetical,11
2966,epithite,8
2967,epithumetic,11
2968,epithumetical,13
2969,epitithides,11
2970,epitomator,10
2971,epitomes,8
2972,epitome,7
2973,epitomist,9
2974,epitomized,10
2975,epitomizing,11
2976,epitomize,9
2977,epitomizer,10
