,W,Length
1618,womanhede,9
1619,womanhood,9
1620,womanish,8
1621,womanize,8
1622,womankind,9
1623,womanless,9
1624,womanlike,9
1625,womanliness,11
1626,womanly,7
1627,womb,4
1628,wombat,6
1629,womby,5
1630,wonder,6
1631,wondered,8
1632,wondering,9
1633,wonderer,8
1634,wonderful,9
1635,wonderingly,11
1636,wonderland,10
1637,wonderly,8
1638,wonderment,10
1639,wonderous,9
1640,wonders,7
1641,wonderstruck,12
1642,wonderwork,10
1643,wondrous,8
1644,wone,4
1645,wong,4
1646,wonger,6
1647,woning,6
1648,wont,4
1649,wonted,6
1650,wonting,7
1651,wontedness,10
1652,wontless,8
1653,wooed,5
1654,wooing,6
1655,woo,3
1656,wood,4
1657,wooded,6
1658,wooding,7
1659,woodbind,8
1660,woodbine,8
1661,woodchat,8
1662,woodchuck,9
1663,woodcock,8
1664,woodcracker,11
1665,woodcraft,9
1666,woodcut,7
1667,woodcutter,10
1668,woodcutting,11
1669,wooden,6
1670,woodenly,8
1671,woodenness,10
1672,woodhack,8
1673,woodhacker,10
1674,woodnewer,9
1675,woodhole,8
1676,woodhouse,9
1677,woodiness,9
1678,woodknacker,11
1679,woodland,8
1680,woodlander,10
1681,woodless,8
1682,woodly,6
1683,woodmen,7
1684,woodman,7
1685,woodmeil,8
1686,woodmonger,10
1687,woodness,8
1688,woodpeck,8
1689,woodpecker,10
1690,woodrock,8
1691,woodruff,8
1692,woodroof,8
1693,woodsmen,8
1694,woodsman,8
1695,woodstone,9
1696,woodsy,6
1697,woodwall,8
1698,woodward,8
1699,woodwardia,10
1700,woodwork,8
1701,woodworm,8
1702,woody,5
1703,wooer,5
1704,woof,4
1705,woofell,7
1706,woofy,5
1707,woohoo,6
1708,wooingly,8
1709,wook,4
1710,wool,4
1711,woolded,7
1712,woolding,8
1713,woold,5
1714,woolder,7
1715,wooled,6
1716,woolen,6
1717,woolenet,8
1718,woolert,7
1719,woolfell,8
1720,woolgathering,13
1721,woolgrower,10
1722,woolhead,8
1723,woolliness,10
1724,woolly,6
1725,woolmen,7
1726,woolman,7
1727,woolpack,8
1728,woolsack,8
1729,woolsey,7
1730,woolstock,9
1731,woolward,8
1732,woon,4
1733,woorali,7
1734,woosy,5
1735,wootz,5
1736,wooyen,6
1737,wopen,5
1738,worble,6
1739,word,4
1740,worded,6
1741,wording,7
1742,wordbook,8
1743,worder,6
1744,wordily,7
1745,wordiness,9
1746,wordish,7
1747,wordle,6
1748,wordless,8
1749,wordsman,8
1750,wordy,5
1751,work,4
1752,worked,6
1753,wrought,7
1754,working,7
1755,workable,8
1756,workaday,8
1757,workbag,7
1758,workbasket,10
1759,workbench,9
1760,workbox,7
1761,workday,7
1762,worker,6
1763,workfellow,10
1764,workfolk,8
1765,workful,7
1766,workhouses,10
1767,workhouse,9
1768,workingmen,10
1769,workingman,10
1770,workless,8
1771,workmen,7
1772,workman,7
1773,workmanlike,11
1774,workmanly,9
1775,workmanship,11
1776,workmaster,10
1777,workroom,8
1778,workship,8
1779,workshop,8
1780,worktable,9
1781,workwomen,9
1782,workwoman,9
1783,workyday,8
1784,world,5
1785,worldliness,11
1786,worldling,9
1787,worldly,7
1788,worldlywise,11
1789,worm,4
1790,wormed,6
1791,worming,7
1792,wormal,6
1793,wormhole,8
1794,wormian,7
1795,wormil,6
1796,wormling,8
1797,wormseed,8
1798,wormul,6
1799,wormwood,8
1800,wormy,5
1801,wornil,6
1802,worral,6
1803,worrel,6
1804,worrier,7
1805,worriment,9
1806,worrisome,9
1807,worrit,6
1808,worried,7
1809,worrying,8
1810,worry,5
1811,worries,7
1812,worryingly,10
1813,worse,5
1814,worsen,6
1815,worser,6
1816,worship,7
1817,worshiped,9
1818,worshipped,10
1819,worshiping,10
1820,worshipping,11
1821,worshipability,14
1822,worshipable,11
1823,worshiper,9
1824,worshipful,10
1825,worst,5
1826,worsted,7
1827,worsting,8
1828,wort,4
1829,worth,5
1830,worthful,8
1831,worthily,8
1832,worthiness,10
1833,worthless,9
1834,worthwhile,10
1835,worthy,6
1836,worthies,8
1837,wost,4
1838,wotest,6
1839,wottest,7
1840,woteth,6
1841,wotteth,7
1842,woul,4
1843,woulding,8
1844,wouldingness,12
1845,wounded,7
1846,wounding,8
1847,woundable,9
1848,wounder,7
1849,woundily,8
1850,woundless,9
1851,woundwort,9
1852,woundy,6
1853,wourali,7
1854,wowe,4
1855,wowf,4
1856,wowke,5
1857,wox,3
1858,woxen,5
1859,wrack,5
1860,wrackful,8
1861,wraith,6
1862,wrangled,8
1863,wrangling,9
1864,wrangle,7
1865,wrangler,8
1866,wranglership,12
1867,wranglesome,11
1868,wrannock,8
1869,wranny,6
1870,wrap,4
1871,wrapped,7
1872,wrapt,5
1873,wrapping,8
1874,wrappage,8
1875,wrapper,7
1876,wraprascal,10
1877,wrasse,6
1878,wrastle,7
1879,wrath,5
1880,wrathful,8
1881,wrathily,8
1882,wrathless,9
1883,wrathy,6
1884,wraw,4
1885,wrawful,7
1886,wrawl,5
1887,wrawness,8
1888,wray,4
1889,wreak,5
1890,wreaked,7
1891,wreaking,8
1892,wreaken,7
1893,wreaker,7
1894,wreakful,8
1895,wreakless,9
1896,wreaths,7
1897,wreath,6
1898,wreathed,8
1899,wreathen,8
1900,wreathing,9
1901,wreathe,7
1902,wreathless,10
1903,wreathy,7
1904,wrecche,7
1905,wreche,6
1906,wreck,5
1907,wrecked,7
1908,wrecking,8
1909,wreckage,8
1910,wrecker,7
1911,wreckfish,9
1912,wreckful,8
1913,wreke,5
1914,wreeke,6
1915,wren,4
1916,wrench,6
1917,wrenched,8
1918,wrenching,9
1919,wrested,7
1920,wresting,8
1921,wrest,5
1922,wrester,7
1923,wrestled,8
1924,wrestling,9
1925,wrestle,7
1926,wrestler,8
1927,wretch,6
1928,wretched,8
1929,wretchedly,10
1930,wretchedness,12
1931,wretchful,9
1932,wretchless,10
1933,wrey,4
1934,wrie,4
1935,wrig,4
1936,wriggled,8
1937,wriggling,9
1938,wriggle,7
1939,wriggler,8
1940,wright,6
1941,wrightine,9
1942,wrung,5
1943,wringed,7
1944,wringing,8
1945,wring,5
1946,wringbolt,9
1947,wringer,7
1948,wringstaves,11
1949,wringstaff,10
1950,wrinkle,7
1951,wrinkled,8
1952,wrinkling,9
1953,wrinkly,7
1954,wrist,5
1955,wristband,9
1956,wrister,7
1957,wristlet,8
1958,writ,4
1959,writability,11
1960,writable,8
1961,writative,9
1962,wrote,5
1963,written,7
1964,writing,7
1965,write,5
1966,writer,6
1967,writership,10
1968,writhed,7
1969,writhen,7
1970,writhing,8
1971,writhe,6
1972,writhle,7
1973,wrizzle,7
1974,wroken,6
1975,wrong,5
1976,wronged,7
1977,wronging,8
1978,wrongdoer,9
1979,wrongdoing,10
1980,wronger,7
1981,wrongful,8
1982,wronghead,9
1983,wrongheaded,11
1984,wrongless,9
1985,wrongly,7
1986,wrongness,9
1987,wrongous,8
1988,wroot,5
1989,wroth,5
1990,wry,3
1991,wried,5
1992,wrying,6
1993,wrybill,7
1994,wrymouth,8
1995,wryneck,7
1996,wrynecked,9
1997,wryness,7
1998,wrythen,7
1999,wulfenite,9
2000,wull,4
2001,wurbagool,9
2002,wurmal,6
2003,wurraluh,8
2004,wust,4
2005,wuste,5
2006,wyandots,8
2007,wyclifite,9
2008,wycliffite,10
2009,wyd,3
2010,wyes,4
2011,wye,3
2012,wyke,4
2013,wyla,4
2014,wynd,4
2015,wynkernel,9
2016,wynn,4
2017,wype,4
2018,wythe,5
2019,wys,3
2020,wyte,4
2021,wyten,5
2022,wyvern,6
