,P,Length
1556,patrolled,9
1557,patrolling,10
1558,patrol,6
1559,patrole,7
1560,patrolmen,9
1561,patrolman,9
1562,patron,6
1563,patronage,9
1564,patronal,8
1565,patronate,9
1566,patroness,9
1567,patronization,13
1568,patronized,10
1569,patronizing,11
1570,patronize,9
1571,patronizer,10
1572,patronless,10
1573,patronomayology,15
1574,patronymic,10
1575,patronymical,12
1576,patroon,7
1577,patroonship,11
1578,patte,5
1579,pattee,6
1580,pattemar,8
1581,patten,6
1582,pattened,8
1583,pattered,8
1584,pattering,9
1585,patter,6
1586,patterer,8
1587,pattern,7
1588,patterned,9
1589,patterning,10
1590,patties,7
1591,patty,5
1592,pattypan,8
1593,patulous,8
1594,pau,3
1595,pauciloquent,12
1596,pauciloquy,10
1597,paucispiral,11
1598,paucity,7
1599,paugies,7
1600,paugie,6
1601,paugy,5
1602,pauhaugen,9
1603,paul,4
1604,pauldron,8
1605,paulian,7
1606,paulianist,10
1607,paulician,9
1608,paulin,6
1609,pauline,7
1610,paulist,7
1611,paulownia,9
1612,paum,4
1613,paunce,6
1614,paunch,6
1615,paunched,8
1616,paunching,9
1617,paunchy,7
1618,paune,5
1619,pauper,6
1620,pauperism,9
1621,pauperization,13
1622,pauperized,10
1623,pauperizing,11
1624,pauperize,9
1625,pauropoda,9
1626,pause,5
1627,paused,6
1628,pausing,7
1629,pauser,6
1630,pausingly,9
1631,pauxi,5
1632,pavage,6
1633,pavan,5
1634,pave,4
1635,paved,5
1636,paving,6
1637,pavement,8
1638,paven,5
1639,paver,5
1640,pavesade,8
1641,pavese,6
1642,pavesse,7
1643,paviage,7
1644,pavian,6
1645,pavid,5
1646,pavidity,8
1647,pavier,6
1648,paviin,6
1649,pavilion,8
1650,pavilioned,10
1651,pavilioning,11
1652,pavin,5
1653,pavior,6
1654,pavise,6
1655,pavisor,7
1656,pavo,4
1657,pavon,5
1658,pavone,6
1659,pavonian,8
1660,pavonine,8
1661,paw,3
1662,pawed,5
1663,pawing,6
1664,pawk,4
1665,pawky,5
1666,pawl,4
1667,pawn,4
1668,pawned,6
1669,pawning,7
1670,pawnable,8
1671,pawnbroker,10
1672,pawnbroking,11
1673,pawnee,6
1674,pawnees,7
1675,pawner,6
1676,pawnor,6
1677,pawpaw,6
1678,pax,3
1679,paxillose,9
1680,paxilli,7
1681,paxillus,8
1682,paxwax,6
1683,paxywaxy,8
1684,pay,3
1685,paying,6
1686,payable,7
1687,payee,5
1688,payen,5
1689,payer,5
1690,paymaster,9
1691,payment,7
1692,payn,4
1693,payndemain,10
1694,paynim,6
1695,paynize,7
1696,payor,5
1697,payse,5
1698,paytine,7
1699,pea,3
1700,peas,4
1701,pease,5
1702,peabird,7
1703,peace,5
1704,peaceable,9
1705,peacebreaker,12
1706,peaceful,8
1707,peaceless,9
1708,peacemaker,10
1709,peach,5
1710,peacher,7
1711,peachick,8
1712,peachy,6
1713,peacock,7
1714,peafowl,7
1715,peage,5
1716,peagrit,7
1717,peahen,6
1718,peak,4
1719,peaked,6
1720,peaking,7
1721,peakish,7
1722,peaky,5
1723,peal,4
1724,pealed,6
1725,pealing,7
1726,pean,4
1727,peanism,7
1728,peanut,6
1729,pear,4
1730,pearch,6
1731,pearl,5
1732,pearlaceous,11
1733,pearlash,8
1734,pearlfish,9
1735,pearlins,8
1736,pearlings,9
1737,pearlite,8
1738,pearlstone,10
1739,pearlwort,9
1740,pearly,6
1741,pearmain,8
1742,peart,5
1743,peasant,7
1744,peasantlike,11
1745,peasantly,9
1746,peasantry,9
1747,peascod,7
1748,peases,6
1749,peasen,6
1750,peastone,8
1751,peasweep,8
1752,peat,4
1753,peaty,5
1754,peba,4
1755,pebble,6
1756,pebbled,7
1757,pebbling,8
1758,pebblestone,11
1759,pebbly,6
1760,pebrine,7
1761,pecan,5
1762,pecary,6
1763,peccability,11
1764,peccable,8
1765,peccadillos,11
1766,peccadillo,10
1767,peccancy,8
1768,peccant,7
1769,peccantly,9
1770,peccaries,9
1771,peccary,7
1772,peccavi,7
1773,pecco,5
1774,peck,4
1775,pecked,6
1776,pecking,7
1777,pecker,6
1778,peckish,7
1779,peckled,7
1780,pecopteris,10
1781,pecora,6
1782,pectate,7
1783,pecten,6
1784,pectic,6
1785,pectin,6
1786,pectinal,8
1787,pectinate,9
1788,pectinated,10
1789,pectinately,11
1790,pectination,11
1791,pectineal,9
1792,pectinibranch,13
1793,pectinibranchiata,17
1794,pectinibranchiate,17
1795,pectiniform,11
1796,pectize,7
1797,pectolite,9
1798,pectoral,8
1799,pectorally,10
1800,pectoriloquial,14
1801,pectoriloquism,14
1802,pectoriloquous,14
1803,pectoriloquy,12
1804,pectose,7
1805,pectosic,8
1806,pectostraca,11
1807,pectous,7
1808,pectora,7
1809,pectus,6
1810,pecul,5
1811,peculated,9
1812,peculating,10
1813,peculate,8
1814,peculation,10
1815,peculator,9
1816,peculiar,8
1817,peculiarities,13
1818,peculiarity,11
1819,pecularized,11
1820,pecularizing,12
1821,peculiarize,11
1822,peculiarly,10
1823,peculiarness,12
1824,peculium,8
1825,pecunial,8
1826,pecuniarily,11
1827,pecuniary,9
1828,pecunious,9
1829,ped,3
1830,pedage,6
1831,pedagog,7
1832,pedagogic,9
1833,pedagogical,11
1834,pedagogics,10
1835,pedagogism,10
1836,pedagogue,9
1837,pedagogy,8
1838,pedal,5
1839,pedalian,8
1840,pedality,8
1841,pedaneous,9
1842,pedant,6
1843,pedantic,8
1844,pedantical,10
1845,pedantically,12
1846,pedanticly,10
1847,pedantism,9
1848,pedantize,9
1849,pedantocracy,12
1850,pedantry,8
1851,pedanty,7
1852,pedarian,8
1853,pedaries,8
1854,pedary,6
1855,pedata,6
1856,pedate,6
1857,pedatifid,9
1858,peddle,6
1859,peddled,7
1860,peddling,8
1861,peddler,7
1862,peddlery,8
1863,pederast,8
1864,pederastic,10
1865,pederasty,9
1866,pederero,8
1867,pedesis,7
1868,pedestal,8
1869,pedestaled,10
1870,pedestrial,10
1871,pedestrially,12
1872,pedestrian,10
1873,pedestrianism,13
1874,pedestrianized,14
1875,pedestrianizing,15
1876,pedestrianize,13
1877,pedestrious,11
1878,pedetentous,11
1879,pedial,6
1880,pedicel,7
1881,pediceled,9
1882,pedicellariae,13
1883,pedicellaria,12
1884,pedicellate,11
1885,pedicellina,11
1886,pedicle,7
1887,pedicular,9
1888,pediculate,10
1889,pediculati,10
1890,pediculation,12
1891,pedicule,8
1892,pediculina,10
1893,pediculous,10
1894,pediculi,8
1895,pediculus,9
1896,pediform,8
1897,pedigerous,10
1898,pedigree,8
1899,pediluvy,8
1900,pedimana,8
1901,pedimane,8
1902,pedimanous,10
1903,pediment,8
1904,pedimental,10
1905,pedipalp,8
1906,pedipalpi,9
1907,pedipalpous,11
1908,pedipalpus,10
1909,pedireme,8
1910,pedlar,6
1911,pedler,6
1912,pedobaptism,11
1913,pedobaptist,11
1914,pedomancy,9
1915,pedometer,9
1916,pedometric,10
1917,pedometrical,12
1918,pedomotive,10
1919,pedotrophy,10
1920,pedregal,8
1921,peduncle,8
1922,peduncled,9
1923,peduncular,10
1924,pedunculata,11
1925,pedunculate,11
1926,pedunculated,12
1927,pee,3
1928,peece,5
1929,peechi,6
1930,peek,4
1931,peekaboo,8
1932,peel,4
1933,peeled,6
1934,peeling,7
1935,peele,5
1936,peeler,6
1937,peelhouse,9
1938,peen,4
1939,peenge,6
1940,peeped,6
1941,peeping,7
1942,peep,4
1943,peeper,6
1944,peephole,8
1945,peered,6
1946,peering,7
1947,peer,4
1948,peerage,7
1949,peerdom,7
1950,peeress,7
1951,peerie,6
1952,peery,5
1953,peerless,8
1954,peert,5
1955,peerweet,8
1956,peevish,7
1957,peevishly,9
1958,peevishness,11
1959,peevit,6
1960,peewit,6
1961,peg,3
1962,pegged,6
1963,pegging,7
1964,pegador,7
1965,pegasean,8
1966,pegasoid,8
1967,pegasus,7
1968,pegger,6
1969,pegm,4
1970,pegmatite,9
1971,pegmatitic,10
1972,pegtatoid,9
1973,pegomancy,9
1974,pegroots,8
1975,pehlevi,7
1976,pein,4
1977,peirameter,10
1978,peirastic,9
1979,peise,5
1980,peitrel,7
1981,pejorative,10
1982,pekan,5
1983,pekoe,5
1984,pela,4
1985,pelage,6
1986,pelagian,8
1987,pelagianism,11
1988,pelagic,7
1989,pelargonic,10
1990,pelargonium,11
1991,pelasgian,9
1992,pelasgic,8
1993,pelecan,7
1994,pelecaniformes,14
1995,pelecoid,8
1996,pelecypoda,10
1997,pelegrine,9
1998,pelerine,8
1999,pelf,4
2000,pelfish,7
2001,pelfray,7
2002,pelfry,6
2003,pelican,7
2004,pelick,6
2005,pelicoid,8
2006,pelicosauria,12
2007,peliom,6
2008,pelioma,7
2009,pelisse,7
2010,pell,4
2011,pellack,7
2012,pellage,7
2013,pellagra,8
2014,pellagrin,9
2015,pellet,6
2016,pelleted,8
2017,pellibranchiata,15
2018,pellicle,8
2019,pellicular,10
2020,pellile,7
2021,pellitory,9
2022,pellmell,8
2023,pellucid,8
2024,pellucidity,11
2025,pellucidness,12
2026,pellucidly,10
2027,pelmata,7
2028,pelma,5
2029,pelopium,8
2030,peloponnesian,13
2031,peloria,7
2032,peloric,7
2033,pelotage,8
2034,pelt,4
2035,pelted,6
2036,pelting,7
2037,peltae,6
2038,pelta,5
2039,peltate,7
2040,peltated,8
2041,pelter,6
2042,peltiform,9
2043,peltry,6
2044,peltryware,10
2045,peludo,6
2046,pelusiac,8
2047,pelvic,6
2048,pelvimeter,10
2049,pelvis,6
2050,pemmican,8
2051,pemphigus,9
2052,pen,3
2053,penned,6
2054,penning,7
2055,pent,4
2056,penal,5
2057,penality,8
2058,penalize,8
2059,penally,7
2060,penalties,9
2061,penalty,7
2062,penance,7
2063,penanced,8
2064,penanceless,11
2065,penannular,10
2066,penary,6
2067,penates,7
2068,penaunt,7
2069,pence,5
2070,pencel,6
2071,penchant,8
2072,penchute,8
2073,pencil,6
2074,penciled,8
2075,pencilled,9
2076,penciling,9
2077,pencilling,10
2078,pencillate,10
2079,pencillated,11
2080,pencraft,8
2081,pend,4
2082,pended,6
2083,pending,7
2084,pendant,7
2085,pendence,8
2086,pendency,8
2087,pendent,7
2088,pendentive,10
2089,pendently,9
2090,pendice,7
2091,pendicle,8
2092,pendicler,9
2093,pendragon,9
2094,pendular,8
2095,pendulate,9
2096,pendule,7
2097,penduline,9
2098,pendulosity,11
2099,pendulous,9
2100,pendulously,11
2101,pendulousness,13
2102,pendulums,9
2103,pendulum,8
2104,penelope,8
2105,penetrability,13
2106,penetrable,10
2107,penetrail,9
2108,penetralia,10
2109,penetrance,10
2110,penetrancy,10
2111,penetrant,9
2112,penetrated,10
2113,penetrating,11
2114,penetrate,9
2115,penetratingly,13
2116,penetration,11
2117,penetrative,11
2118,penetrativeness,15
2119,penfish,7
2120,penfold,7
2121,pengolin,8
2122,penguin,7
2123,penguinery,10
2124,penholder,9
2125,penhouse,8
2126,penible,7
2127,penicil,7
2128,penicillate,11
2129,penicilliform,13
2130,peninsula,9
2131,peninsular,10
2132,peninsulated,12
2133,peninsulating,13
2134,peninsulate,11
2135,penis,5
2136,penitence,9
2137,penitencer,10
2138,penitency,9
2139,penitent,8
2140,penitential,11
2141,penitentially,13
2142,penitentiary,12
2143,penitentiaries,14
2144,penitentiaryship,16
2145,penitently,10
2146,penk,4
2147,penknives,9
2148,penknife,8
2149,penmen,6
2150,penman,6
2151,penmanship,10
2152,pennae,6
2153,penna,5
2154,pennaceous,10
2155,pennach,7
2156,pennached,9
2157,pennage,7
2158,pennant,7
2159,pennate,7
2160,pennated,8
2161,pennatulae,10
2162,pennatulas,10
2163,pennatula,9
2164,pennatulacea,12
2165,penner,6
2166,penniform,9
2167,pennigerous,11
2168,penniless,9
2169,penninerved,11
2170,pennipotent,11
2171,pennon,6
2172,pennoncel,9
2173,pennoncelle,11
2174,penny,5
2175,pennies,7
2176,pennyroyal,10
2177,pennyweight,11
2178,pennywort,9
2179,pennyworth,10
2180,penock,6
2181,penological,11
2182,penologist,10
2183,penology,8
2184,penrack,7
2185,pens,4
2186,pensative,9
2187,pensel,6
2188,pensible,8
2189,pensile,7
2190,pensileness,11
2191,pension,7
2192,pensioned,9
2193,pensioning,10
2194,pensionary,10
2195,pensionaries,12
2196,pensioner,9
2197,pensive,7
2198,pensived,8
2199,pensively,9
2200,pensiveness,11
2201,penstock,8
2202,pentabasic,10
2203,pentacapsular,13
2204,pentachenium,12
2205,pentachloride,13
2206,pentachord,10
2207,pentacid,8
2208,pentacle,8
2209,pentacoccous,12
2210,pentaconter,11
2211,pentacrinin,11
2212,pentacrinite,12
2213,pentacrinoid,12
2214,pentacrinus,11
2215,pentacra,8
2216,pentacrons,10
2217,pentacron,9
2218,pentacrostic,12
2219,pentad,6
2220,pentadactyl,11
2221,pentadactyle,12
2222,pentadactyloid,14
2223,pentadecane,11
2224,pentadecatoic,13
2225,pentadecylic,12
2226,pentadelphous,13
2227,pentafid,8
2228,pentaglot,9
2229,pentagon,8
2230,pentagonal,10
2231,pentagonally,12
2232,pentagonous,11
2233,pentagram,9
2234,pentagraphic,12
2235,pentagraphical,14
2236,pentagynia,10
2237,pentagynian,11
2238,pentagynous,11
2239,pentahedral,11
2240,pentahedrical,13
2241,pentahedron,11
2242,pentahedrous,12
2243,pentail,7
2244,pentalpha,9
2245,pentamera,9
2246,pentameran,10
2247,pentamerous,11
2248,pentamerus,10
2249,pentameter,10
2250,pentamethylene,14
2251,pentandria,10
2252,pentandrian,11
2253,pentandrous,11
2254,pentane,7
2255,pentangle,9
2256,pentangular,11
2257,pentapetalous,13
2258,pentaphyllous,13
2259,pentapody,9
2260,pentaptote,10
2261,pentaptych,10
2262,pentarchy,9
2263,pentaspast,10
2264,pentaspermous,13
2265,pentastich,10
2266,pentastichous,13
2267,pentastomida,12
2268,pentastyle,10
2269,pentateuch,10
2270,pentateuchal,12
2271,pentathionic,12
2272,pentathlon,10
2273,pentatomic,10
2274,pentavalent,11
2275,penteconter,11
2276,pentecost,9
2277,pentecostal,11
2278,pentecostals,12
2279,pentecoster,11
2280,pentecosties,12
2281,pentecosty,10
2282,pentelic,8
2283,pentelican,10
2284,pentene,7
2285,penthouse,9
2286,pentice,7
2287,pentile,7
2288,pentine,7
2289,pentoic,7
2290,pentone,7
2291,pentoxide,9
2292,pentremite,10
2293,pentremites,11
2294,pentroof,8
2295,pentrough,9
2296,pentyl,6
2297,pentylic,8
2298,penuchle,8
2299,pinocle,7
2300,penult,6
2301,penultima,9
2302,penultimate,11
2303,penumbra,8
2304,penumbrala,10
2305,penurious,9
2306,penury,6
2307,penwiper,8
2308,penwomen,8
2309,penwoman,8
2310,peon,4
2311,peonage,7
2312,peonism,7
2313,peonies,7
2314,peony,5
2315,people,6
2316,peopled,7
2317,peopling,8
2318,peopleless,10
2319,peopler,7
2320,peoplish,8
2321,peorias,7
2322,pepastic,8
2323,peperine,8
2324,peperino,8
2325,peplis,6
2326,peplus,6
2327,pepo,4
2328,pepper,6
2329,peppered,8
2330,peppering,9
2331,pepperbrand,11
2332,peppercorn,10
2333,pepperer,8
2334,peppergrass,11
2335,pepperidge,10
2336,peppermint,10
2337,pepperwort,10
2338,peppery,7
2339,pepsin,6
2340,pepsinhydrochloric,18
2341,pepsinogen,10
2342,peptic,6
2343,peptics,7
2344,peptogen,8
2345,peptogenic,10
2346,peptogenous,11
2347,peptohydrochloric,17
2348,peptone,7
2349,peptonize,9
2350,peptonoid,9
2351,peptonuria,10
2352,peptotoxine,11
2353,pequots,7
2354,per,3
2355,peract,6
2356,peracute,8
2357,peradventure,12
2358,peraeopod,9
2359,peragrate,9
2360,peragration,11
2361,perambulated,12
2362,perambulating,13
2363,perambulate,11
2364,perambulation,13
2365,perambulator,12
2366,perameles,9
2367,perbend,7
2368,perbreak,8
2369,perbromate,10
2370,perbromic,9
2371,perbromide,10
2372,perca,5
2373,percale,7
2374,percaline,9
2375,percarbide,10
2376,percarburet,11
2377,percarbureted,13
2378,percase,7
2379,perce,5
2380,perceivable,11
2381,perceivance,11
2382,perceived,9
2383,perceiving,10
2384,perceive,8
2385,perceiver,9
2386,percely,7
2387,percentage,10
2388,percept,7
2389,perceptibility,14
2390,perceptible,11
2391,perception,10
2392,perceptive,10
2393,perceptivity,12
2394,percesoces,10
2395,perch,5
2396,perched,7
2397,perching,8
2398,perchance,9
2399,perchant,8
2400,percher,7
2401,percheron,9
2402,perchlorate,11
2403,perchloric,10
2404,perchloride,11
2405,perchromic,10
2406,perciform,9
2407,perciformes,11
2408,percipience,11
2409,percipiency,11
2410,percipient,10
2411,perclose,8
2412,percoid,7
2413,percoidea,9
2414,percolated,10
2415,percolating,11
2416,percolate,9
2417,percolation,11
2418,percolator,10
2419,percomorphi,11
2420,perculaced,10
2421,percurrent,10
2422,percursory,10
2423,percussed,9
2424,percussing,10
2425,percuss,7
2426,percussion,10
2427,percussive,10
2428,percutient,10
2429,perdicine,9
2430,perdie,6
2431,perdifoil,9
2432,perdition,9
2433,perditionable,13
2434,perdix,6
2435,perdu,5
2436,perdue,6
2437,perduellion,11
2438,perdulous,9
2439,perdurability,13
2440,perdurable,10
2441,perdurance,10
2442,perduration,11
2443,perdure,7
2444,perdy,5
2445,pere,4
2446,peregal,7
2447,peregrinate,11
2448,peregrination,13
2449,peregrinator,12
2450,peregrine,9
2451,peregrinity,11
2452,perel,5
2453,perempt,7
2454,peremption,10
2455,peremptorily,12
2456,peremptoriness,14
2457,peremptory,10
2458,perennial,9
2459,perennially,11
2460,perennibranchiata,17
2461,perennibranchiate,17
2462,perennity,9
2463,pererration,11
2464,perfect,7
2465,perfected,9
2466,perfecting,10
2467,perfecter,9
2468,perfectibilian,14
2469,perfectibilist,14
2470,perfectibility,14
2471,perfectible,11
2472,perfection,10
2473,perfectional,12
2474,perfectionate,13
2475,perfectionism,13
2476,perfectionist,13
2477,perfectionment,14
2478,perfective,10
2479,perfectively,12
2480,perfectly,9
2481,perfectness,11
2482,perfervid,9
2483,perficient,10
2484,perfidious,10
2485,perfidiously,12
2486,perfidiousness,14
2487,perfidies,9
2488,perfidy,7
2489,perfit,6
2490,perfix,6
2491,perflable,9
2492,perflate,8
2493,perflation,10
2494,perfoliate,10
2495,perforata,9
2496,perforated,10
2497,perforating,11
2498,perforate,9
2499,perforation,11
2500,perforative,11
2501,perforator,10
2502,perforce,8
2503,performed,9
2504,performing,10
2505,perform,7
2506,performable,11
2507,performance,11
2508,performer,9
2509,perfricate,10
2510,perfumatory,11
2511,perfumed,8
2512,perfuming,9
2513,perfume,7
2514,perfumer,8
2515,perfumery,9
2516,perfunctorily,13
2517,perfunctoriness,15
2518,perfunctory,11
2519,perfuncturate,13
2520,perfused,8
2521,perfusing,9
2522,perfuse,7
2523,perfusion,9
2524,perfusive,9
2525,pergamenous,11
2526,pergamentaceous,15
2527,perhaps,7
2528,peris,5
2529,peri,4
2530,periagua,8
2531,perianth,8
2532,perianthium,11
2533,periapt,7
2534,periastral,10
2535,periastron,10
2536,periauger,9
2537,periblast,9
2538,periblem,8
2539,peribolos,9
2540,peribranchial,13
2541,pericambium,11
2542,pericardiac,11
2543,pericardial,11
2544,pericardian,11
2545,pericardic,10
2546,pericarditus,12
2547,pericardium,11
2548,pericarp,8
2549,pericarpial,11
2550,pericarpic,10
2551,pericellular,12
2552,perichaeth,10
2553,perichaetial,12
2554,perichaetia,11
2555,perichaetium,12
2556,perichaetous,12
2557,perichete,9
2558,perichondrial,13
2559,perichondritis,14
2560,perichondrium,13
2561,perichordal,11
2562,periclase,9
2563,periclasite,11
2564,periclinia,10
2565,periclinium,11
2566,periclitate,11
2567,periclitation,13
2568,pericope,8
2569,pericranial,11
2570,pericranium,11
2571,periculous,10
2572,pericula,8
2573,periculum,9
2574,periderm,8
2575,peridiastole,12
2576,peridia,7
2577,peridium,8
2578,peridot,7
2579,peridotite,10
2580,peridrome,9
2581,periecians,10
2582,perienteron,11
2583,periergy,8
2584,periganglionic,14
2585,perigastric,11
2586,perigean,8
2587,perigee,7
2588,perigeum,8
2589,perigenesis,11
2590,perigenetic,11
2591,perigone,8
2592,perigonia,9
2593,perigonium,10
2594,perigraph,9
2595,perigynia,9
2596,perigynium,10
2597,perigynous,10
2598,perihelia,9
2599,perihelion,10
2600,perihelium,10
2601,peril,5
2602,periled,7
2603,perilled,8
2604,periling,8
2605,perilling,9
2606,perilla,7
2607,perilous,8
2608,perilymph,9
2609,perilymphangial,15
2610,perilymphatic,13
2611,perimeter,9
2612,perimetric,10
2613,perimetrical,12
2614,perimetry,9
2615,perimorph,9
2616,perimysial,10
2617,perimysium,10
2618,perinaeum,9
2619,perineal,8
2620,perineoplasty,13
2621,perineorrhaphy,14
2622,perinephritis,13
2623,perineum,8
2624,perineurial,11
2625,perineurium,11
2626,perinuclear,11
2627,period,6
2628,periodate,9
2629,periodic,8
2630,periodical,10
2631,periodicalist,13
2632,periodically,12
2633,periodicalness,14
2634,periodicities,13
2635,periodicity,11
2636,periodide,9
2637,periodontal,11
2638,periodoscope,12
2639,perioeci,8
2640,perioecians,11
2641,periople,8
2642,perioplic,9
2643,periosteal,10
2644,periosteum,10
2645,periostitis,11
2646,periostraca,11
2647,periostracum,12
2648,periotic,8
2649,peripatecian,12
2650,peripatetic,11
2651,peripatetical,13
2652,peripateticism,14
2653,peripatus,9
2654,peripetalous,12
2655,peripheral,10
2656,peripheric,10
2657,peripherical,12
2658,peripheries,11
2659,periphery,9
2660,periphrase,10
2661,periphrased,11
2662,periphrasing,12
2663,periphrases,11
2664,periphrasis,11
2665,periphrastic,12
2666,periphrastical,14
2667,periphrastically,16
2668,periplast,9
2669,peripneumonia,13
2670,peripneumony,12
2671,peripneumonic,13
2672,periproct,9
2673,periproctitis,13
2674,peripteral,10
2675,peripterous,11
2676,perisarc,8
2677,periscian,9
2678,periscians,10
2679,periscii,8
2680,periscope,9
2681,periscopic,10
2682,perished,8
2683,perishing,9
2684,perish,6
2685,perishability,13
2686,perishable,10
2687,perishableness,14
2688,perishably,10
2689,perishment,10
2690,perisomata,10
2691,perisoma,8
2692,perisome,8
2693,perisperm,9
2694,perispheric,11
2695,perispherical,13
2696,perispomena,11
2697,perispomenon,12
2698,perispore,9
2699,perissad,8
2700,perisse,7
2701,perissodactyl,13
2702,perissodactyla,14
2703,perissological,14
2704,perissology,11
2705,peristalsis,11
2706,peristaltic,11
2707,peristeria,10
2708,peristerion,11
2709,peristerite,11
2710,peristeromorphous,17
2711,peristeropodous,15
2712,peristole,9
2713,peristomata,11
2714,peristoma,9
2715,peristome,9
2716,peristomial,11
2717,peristomium,11
2718,peristrephic,12
2719,peristyle,9
2720,perisystole,11
2721,perite,6
2722,perithecium,11
2723,peritomous,10
2724,peritonaeum,11
2725,peritoneal,10
2726,peritoneum,10
2727,peritonitis,11
2728,peritracheal,12
2729,peritreme,9
2730,peritricha,10
2731,peritrochium,12
2732,peritropal,10
2733,peritropous,11
2734,perityphlitis,13
2735,periuterine,11
2736,perivascular,12
2737,perivertebral,13
2738,perivisceral,12
2739,perivitelline,13
2740,periwig,7
2741,perwigged,9
2742,perwigging,10
2743,periwinkle,10
2744,perjenet,8
2745,perjured,8
2746,perjuring,9
2747,perjure,7
2748,perjurer,8
2749,perjurious,10
2750,perjurous,9
2751,perjuries,9
2752,perjury,7
2753,perked,6
2754,perking,7
2755,perk,4
2756,perkin,6
2757,perkinism,9
2758,perky,5
2759,perlaceous,10
2760,perlid,6
2761,perlite,7
2762,perlitic,8
2763,perlous,7
2764,perlustration,13
2765,permanable,10
2766,permanence,10
2767,permanency,10
2768,permanent,9
2769,permanently,11
2770,permanganate,12
2771,permanganic,11
2772,permansion,10
2773,permeability,12
2774,permeable,9
2775,permeably,9
2776,permeant,8
2777,permeated,9
2778,permeating,10
2779,permeate,8
2780,permeation,10
2781,permian,7
2782,permians,8
2783,permiscible,11
2784,permiss,7
2785,permissibility,14
2786,permissible,11
2787,permission,10
2788,permissive,10
2789,permissively,12
2790,permistion,10
2791,permitted,9
2792,permitting,10
2793,permit,6
2794,permittance,11
2795,permittee,9
2796,permitter,9
2797,permix,6
2798,permixtion,10
2799,permutable,10
2800,permutation,11
2801,permute,7
2802,permuter,8
2803,pern,4
2804,pernancy,8
2805,pernel,6
2806,pernicion,9
2807,pernicious,10
2808,pernicity,9
2809,pernio,6
2810,pernoctalian,12
2811,pernoctation,12
2812,pernor,6
2813,perofskite,10
2814,perogue,7
2815,peronate,8
2816,peroneal,8
2817,perorate,8
2818,peroration,10
2819,peroxidation,12
2820,peroxide,8
2821,peroxidized,11
2822,peroxidizing,12
2823,peroxidize,10
2824,perpend,7
2825,perpender,9
2826,perpendicle,11
2827,perpendicular,13
2828,perpendicularity,16
2829,perpendicularly,15
2830,perpension,10
2831,perpensity,10
2832,perpession,10
2833,perpetrable,11
2834,perpetrated,11
2835,perpetrating,12
2836,perpetrate,10
2837,perpetration,12
2838,perpetrator,11
2839,perpetuable,11
2840,perpetual,9
2841,perpetually,11
2842,perpetualty,11
2843,perpetuance,11
2844,perpetuated,11
2845,perpetuating,12
2846,perpetuate,10
2847,perpetuation,12
2848,perpetuity,10
2849,perplexed,9
2850,perplexing,10
2851,perplex,7
2852,perplexities,12
2853,perplexity,10
2854,perplexiveness,14
2855,perplexly,9
2856,perpotation,11
2857,perquisite,10
2858,perquisited,11
2859,perquisition,12
2860,perradial,9
2861,perrie,6
2862,perrier,7
2863,perroquet,9
2864,perruque,8
2865,perruquier,10
2866,perry,5
2867,pers,4
2868,persalt,7
2869,persant,7
2870,perscrutation,13
2871,persecot,8
2872,persecuted,10
2873,persecuting,11
2874,persecute,9
2875,persecution,11
2876,persecutor,10
2877,persecutrix,11
2878,perseid,7
2879,perseus,7
2880,persever,8
2881,perseverance,12
2882,perseverant,11
2883,persevered,10
2884,persevering,11
2885,persevere,9
2886,persian,7
2887,persic,6
2888,persicaria,10
2889,persicot,8
2890,persiflage,10
2891,persifleur,10
2892,persimmon,9
2893,persis,6
2894,persism,7
2895,persisted,9
2896,persisting,10
2897,persist,7
2898,persistence,11
2899,persistency,11
2900,persistent,10
2901,persistently,12
2902,persistive,10
2903,persolve,8
2904,person,6
2905,personae,8
2906,persona,7
2907,personable,10
2908,personage,9
2909,personal,8
2910,personalism,11
2911,personalities,13
2912,personality,11
2913,personalized,12
2914,personalizing,13
2915,personalize,11
2916,personally,10
2917,personalty,10
2918,personated,10
2919,personating,11
2920,personate,9
2921,personation,11
2922,personator,10
2923,personeity,10
2924,personification,15
2925,personifier,11
2926,personified,11
2927,personifying,12
2928,personify,9
2929,personize,9
2930,personnel,9
2931,perspective,11
2932,perspectively,13
2933,perspectograph,14
2934,perspectography,15
2935,perspicable,11
2936,perspicacious,13
2937,perspicacity,12
2938,perspicacy,10
2939,perspicience,12
2940,perspicil,9
2941,perspicuity,11
2942,perspicuous,11
2943,perspirability,14
2944,perspirable,11
2945,perspiration,12
2946,perspirative,12
2947,perspiratory,12
2948,perspired,9
2949,perspiring,10
2950,perspire,8
2951,perstreperous,13
2952,perstringe,10
2953,persuadable,11
2954,persuaded,9
2955,persuading,10
2956,persuade,8
2957,persuader,9
2958,persuasibility,14
2959,persuasible,11
2960,persuasion,10
2961,persuasive,10
2962,persuasory,10
2963,persulphate,11
2964,persulphide,11
2965,persulphocyanate,16
2966,persulphocyanic,15
2967,persulphocyanogen,17
2968,persulphuret,12
2969,pert,4
2970,pertained,9
2971,pertaining,10
2972,pertain,7
2973,perterebration,14
2974,perthiocyanogen,15
2975,perthite,8
2976,pertinacious,12
2977,pertinacity,11
2978,pertinacy,9
2979,pertinate,9
2980,pertinately,11
2981,pertinence,10
2982,pertinency,10
2983,pertinent,9
2984,pertly,6
2985,pertness,8
2986,pertransient,12
