,A,Length
1283,addible,7.0
1284,addice,6.0
1285,addict,6.0
1286,addicted,8.0
1287,addicting,9.0
1288,addictedness,12.0
1289,addiction,9.0
1290,additament,10.0
1291,addition,8.0
1292,additional,10.0
1293,additionally,12.0
1294,additionary,11.0
1295,addititious,11.0
1296,additive,8.0
1297,additory,8.0
1298,addle,5.0
1299,addled,6.0
1300,addling,7.0
1301,addlings,8.0
1302,addoom,6.0
1303,addorsed,8.0
1304,addressed,9.0
1305,addressing,10.0
1306,address,7.0
1307,addressee,9.0
1308,addression,10.0
1309,adduced,7.0
1310,adducing,8.0
1311,adduce,6.0
1312,adducent,8.0
1313,adducer,7.0
1314,adducible,9.0
1315,adduct,6.0
1316,adduction,9.0
1317,adductive,9.0
1318,adductor,8.0
1319,addulce,7.0
1320,adeem,5.0
1321,adelantadillo,13.0
1322,adelantado,10.0
1323,adelaster,9.0
1324,adeling,7.0
1325,adelocodonic,12.0
1326,adelopod,8.0
1327,adelphia,8.0
1328,adelphous,9.0
1329,adempt,6.0
1330,ademption,9.0
1331,adenalgia,9.0
1332,adenalgy,8.0
1333,adeniform,9.0
1334,adenitis,8.0
1335,adenographic,12.0
1336,adenography,11.0
1337,adenoid,7.0
1338,adenoidal,9.0
1339,adenological,12.0
1340,adenology,9.0
1341,adenophorous,12.0
1342,adenophyllous,13.0
1343,adenose,7.0
1344,adenotomic,10.0
1345,adenotomy,9.0
1346,adenous,7.0
1347,adeps,5.0
1348,adept,5.0
1349,adeption,8.0
1350,adeptist,8.0
1351,adeptness,9.0
1352,adequacy,8.0
1353,adequate,8.0
1354,adequately,10.0
1355,adequateness,12.0
1356,adequation,10.0
1357,adesmy,6.0
1358,adessenarian,12.0
1359,adfected,8.0
1360,adfiliated,10.0
1361,adfiliation,11.0
1362,adfluxion,9.0
1363,adhamant,8.0
1364,adhered,7.0
1365,adhering,8.0
1366,adhere,6.0
1367,adherence,9.0
1368,adherency,9.0
1369,adherent,8.0
1370,adherently,10.0
1371,adherer,7.0
1372,adhesion,8.0
1373,adhesive,8.0
1374,adhesively,10.0
1375,adhesiveness,12.0
1376,adhibit,7.0
1377,adhibition,10.0
1378,adhort,6.0
1379,adhortation,11.0
1380,adhortatory,11.0
1381,adiabatic,9.0
1382,adiactinic,10.0
1383,adiantum,8.0
1384,adiaphorism,11.0
1385,adiaphorist,11.0
1386,adiaphoristic,13.0
1387,adiaphorite,11.0
1388,adiaphorous,11.0
1389,adiaphory,9.0
1390,adiathermic,11.0
1391,adieu,5.0
1392,adieus,6.0
1393,adight,6.0
1394,adipescent,10.0
1395,adipic,6.0
1396,adipocerate,11.0
1397,adipoceration,13.0
1398,adipocere,9.0
1399,adipoceriform,13.0
1400,adipocerous,11.0
1401,adipose,7.0
1402,adiposeness,11.0
1403,adiposity,9.0
1404,adipous,7.0
1405,adipsous,8.0
1406,adipsy,6.0
1407,adit,4.0
1408,adjacence,9.0
1409,adjacency,9.0
1410,adjacent,8.0
1411,adjacently,10.0
1412,adject,6.0
1413,adjection,9.0
1414,adjectional,11.0
1415,adjectitious,12.0
1416,adjectival,10.0
1417,adjectivally,12.0
1418,adjective,9.0
1419,adjectived,10.0
1420,adjectiving,11.0
1421,adjectively,11.0
1422,adjoined,8.0
1423,adjoining,9.0
1424,adjoin,6.0
1425,adjoinant,9.0
1426,adjoint,7.0
1427,adjourned,9.0
1428,adjourning,10.0
1429,adjourn,7.0
1430,adjournal,9.0
1431,adjournment,11.0
1432,adjudged,8.0
1433,adjudging,9.0
1434,adjudge,7.0
1435,adjudger,8.0
1436,adjudgment,10.0
1437,adjudicated,11.0
1438,adjudicating,12.0
1439,adjudicate,10.0
1440,adjudication,12.0
1441,adjudicative,12.0
1442,adjudicator,11.0
1443,adjudicature,12.0
1444,adjugate,8.0
1445,adjument,8.0
1446,adjuvant,8.0
1447,adjunct,7.0
1448,adjunction,10.0
1449,adjunctive,10.0
1450,adjunctively,12.0
1451,adjunctly,9.0
1452,adjuration,10.0
1453,adjuratory,10.0
1454,adjured,7.0
1455,adjuring,8.0
1456,adjure,6.0
1457,adjurer,7.0
1458,adjusted,8.0
1459,adjusting,9.0
1460,adjust,6.0
1461,adjustable,10.0
1462,adjustage,9.0
1463,adjuster,8.0
1464,adjustive,9.0
1465,adjustment,10.0
1466,adjutage,8.0
1467,adjutancy,9.0
1468,adjutant,8.0
1469,adjutator,9.0
1470,adjute,6.0
1471,adjutor,7.0
1472,adjutory,8.0
1473,adjutrix,8.0
1474,adlegation,10.0
1475,adlocution,10.0
1476,admarginate,11.0
1477,admaxillary,11.0
1478,admeasure,9.0
1479,admeasurer,10.0
1480,admensuration,13.0
1481,adminicle,9.0
1482,adminicular,11.0
1483,adminiculary,12.0
1484,administered,12.0
1485,administering,13.0
1486,administer,10.0
1487,administerial,13.0
1488,administrable,13.0
1489,administrant,12.0
1490,administrate,12.0
1491,administration,14.0
1492,administrative,14.0
1493,administrator,13.0
1494,administratorship,17.0
1495,administratrix,14.0
1496,admirability,12.0
1497,admirable,9.0
1498,admirableness,13.0
1499,admirably,9.0
1500,admiral,7.0
1501,admiralship,11.0
1502,admiralties,11.0
1503,admiralty,9.0
1504,admirance,9.0
1505,admiration,10.0
1506,admirative,10.0
1507,admired,7.0
1508,admiring,8.0
1509,admire,6.0
1510,admirer,7.0
1511,admissibility,13.0
1512,admissible,10.0
1513,admission,9.0
1514,admissive,9.0
1515,admissory,9.0
1516,admitted,8.0
1517,admitting,9.0
1518,admit,5.0
1519,admittable,10.0
1520,admittance,10.0
1521,admittatur,10.0
1522,admittedly,10.0
1523,admitter,8.0
1524,admix,5.0
1525,admixtion,9.0
1526,admixture,9.0
1527,admonished,10.0
1528,admonishing,11.0
1529,admonish,8.0
1530,admonisher,10.0
1531,admonishment,12.0
1532,admonition,10.0
1533,admonitioner,12.0
1534,admonitive,10.0
1535,admonitor,9.0
1536,admonitorial,12.0
1537,admonitory,10.0
1538,admonitrix,10.0
1539,admortization,13.0
1540,admove,6.0
1541,adnascent,9.0
1542,adnate,6.0
1543,adnation,8.0
1544,adnominal,9.0
1545,adnoun,6.0
1546,adnubilated,11.0
1547,ado,3.0
1548,adobe,5.0
1549,adolescence,11.0
1550,adolescency,11.0
1551,adolescent,10.0
1552,adonean,7.0
1553,adonic,6.0
1554,adonis,6.0
1555,adonist,7.0
1556,adonize,7.0
1557,adoor,5.0
1558,adoors,6.0
1559,adopted,7.0
1560,adopting,8.0
1561,adopt,5.0
1562,adoptable,9.0
1563,adopter,7.0
1564,adoption,8.0
1565,adoptionist,11.0
1566,adoptious,9.0
1567,adoptive,8.0
1568,adorability,11.0
1569,adorable,8.0
1570,adorableness,12.0
1571,adorably,8.0
1572,adoration,9.0
1573,adoring,7.0
1574,adore,5.0
1575,adorement,9.0
1576,adorer,6.0
1577,adoringly,9.0
1578,adorned,7.0
1579,adorning,8.0
1580,adorn,5.0
1581,adornation,10.0
1582,adorner,7.0
1583,adorningly,10.0
1584,adornment,9.0
1585,adosculation,12.0
1586,adown,5.0
1587,adpress,7.0
1588,adrad,5.0
1589,adragant,8.0
1590,adread,6.0
1591,adreamed,8.0
1592,adrenal,7.0
1593,adrian,6.0
1594,adriatic,8.0
1595,adrift,6.0
1596,adrip,5.0
1597,adrogate,8.0
1598,adrogation,10.0
1599,adroit,6.0
1600,adroitly,8.0
1601,adroitness,10.0
1602,adry,4.0
1603,adscititious,12.0
1604,adscript,8.0
1605,adscriptive,11.0
1606,adsignification,15.0
1607,adsignify,9.0
1608,adstrict,8.0
1609,adstrictory,11.0
1610,adstringent,11.0
1611,adularia,8.0
1612,adulate,7.0
1613,adulation,9.0
1614,adulator,8.0
1615,adulatory,9.0
1616,adulatress,10.0
1617,adult,5.0
1618,adulter,7.0
1619,adulterant,10.0
1620,adulterated,11.0
1621,adulterating,12.0
1622,adulterate,10.0
1623,adulteration,12.0
1624,adulterator,11.0
1625,adulterer,9.0
1626,adulteress,10.0
1627,adulterine,10.0
1628,adulterize,10.0
1629,adulterous,10.0
1630,adulterously,12.0
1631,adulteries,10.0
1632,adultery,8.0
1633,adultness,9.0
1634,adumbrant,9.0
1635,adumbrate,9.0
1636,adumbration,11.0
1637,adumbrative,11.0
1638,adunation,9.0
1639,adunc,5.0
1640,adunque,7.0
1641,aduncity,8.0
1642,aduncous,8.0
1643,adure,5.0
1644,adust,5.0
1645,adusted,7.0
1646,adustible,9.0
1647,adustion,8.0
1648,advanced,8.0
1649,advancing,9.0
1650,advance,7.0
1651,advancement,11.0
1652,advancer,8.0
1653,advancive,9.0
1654,advantage,9.0
1655,advantaged,10.0
1656,advantaging,11.0
1657,advantageable,13.0
1658,advantageous,12.0
1659,advantageously,14.0
1660,advantageousness,16.0
1661,advene,6.0
1662,advenient,9.0
1663,advent,6.0
1664,adventist,9.0
1665,adventitious,12.0
1666,adventive,9.0
1667,adventual,9.0
1668,adventure,9.0
1669,adventured,10.0
1670,adventuring,11.0
1671,adventureful,12.0
1672,adventurer,10.0
1673,adventuresome,13.0
1674,adventuress,11.0
1675,adventurous,11.0
1676,adventurously,13.0
1677,adventurousness,15.0
1678,adverb,6.0
1679,adverbial,9.0
1680,adverbiality,12.0
1681,adverbialize,12.0
1682,adverbially,11.0
1683,adversaria,10.0
1684,adversarious,12.0
1685,adversaries,11.0
1686,adversary,9.0
1687,adversative,11.0
1688,adverse,7.0
1689,adversely,9.0
1690,adverseness,11.0
1691,adversifoliate,14.0
1692,adversifolious,14.0
1693,adversion,9.0
1694,adversities,11.0
1695,adversity,9.0
1696,adverted,8.0
1697,adverting,9.0
1698,advert,6.0
1699,advertence,10.0
1700,advertency,10.0
1701,advertent,9.0
1702,advertised,10.0
1703,advertising,11.0
1704,advertise,9.0
1705,advertisement,13.0
1706,advertiser,10.0
1707,advice,6.0
1708,advisability,12.0
1709,advisable,9.0
1710,advisably,9.0
1711,advised,7.0
1712,advising,8.0
1713,advise,6.0
1714,advisedly,9.0
1715,advisedness,11.0
1716,advisement,10.0
1717,adviser,7.0
1718,advisership,11.0
1719,adviso,6.0
1720,advisory,8.0
1721,advocacy,8.0
1722,advocate,8.0
1723,advocated,9.0
1724,advocating,10.0
1725,advocateship,12.0
1726,advocation,10.0
1727,advocatory,10.0
1728,advoke,6.0
1729,advolution,10.0
1730,advoutrer,9.0
1731,advoutress,10.0
1732,advoutry,8.0
1733,advowtry,8.0
1734,advowee,7.0
1735,advowson,8.0
1736,advoyer,7.0
1737,adward,6.0
1738,adynamia,8.0
1739,adynamic,8.0
1740,adynamy,7.0
1741,adyta,5.0
1742,adytum,6.0
1743,adz,3.0
1744,adze,4.0
1745,ae,2.0
1746,aecidia,7.0
1747,aecidium,8.0
1748,aedile,6.0
1749,aedileship,10.0
1750,aegean,6.0
1751,aegicrania,10.0
1752,aegilops,8.0
1753,aegis,5.0
1754,aegophony,9.0
1755,aegrotat,8.0
1756,aeneid,6.0
1757,aeneous,7.0
1758,aeolian,7.0
1759,aeolic,6.0
1760,aeolipile,9.0
1761,aeolipyle,9.0
1762,aeolotropic,11.0
1763,aeolotropy,10.0
1764,aeolus,6.0
1765,aeon,4.0
1766,aeonian,7.0
1767,aepyornis,9.0
1768,aerated,7.0
1769,aerating,8.0
1770,aerate,6.0
1771,aeration,8.0
1772,aerator,7.0
1773,aerial,6.0
1774,aeriality,9.0
1775,aerially,8.0
1776,aerie,5.0
1777,aeriferous,10.0
1778,aerification,12.0
1779,aeriform,8.0
1780,aerify,6.0
1781,aerobies,8.0
1782,aerobiotic,10.0
1783,aerocyst,8.0
1784,aerodynamic,11.0
1785,aerodynamics,12.0
1786,aerognosy,9.0
1787,aerographer,11.0
1788,aerographic,11.0
1789,aerographical,13.0
1790,aerography,10.0
1791,aerohydrodynamic,16.0
1792,aerolite,8.0
1793,aerolith,8.0
1794,aerolithology,13.0
1795,aerolitic,9.0
1796,aerologic,9.0
1797,aerological,11.0
1798,aerologist,10.0
1799,aerology,8.0
1800,aeromancy,9.0
1801,aerometer,9.0
1802,aerometric,10.0
1803,aerometry,9.0
1804,aeronaut,8.0
1805,aeronautic,10.0
1806,aeronautical,12.0
1807,aeronautics,11.0
1808,aerophobia,10.0
1809,aerophoby,9.0
1810,aerophyte,9.0
1811,aeroplane,9.0
1812,aeroscope,9.0
1813,aeroscopy,9.0
1814,aerose,6.0
1815,aerosiderite,12.0
1816,aerosphere,10.0
1817,aerostat,8.0
1818,aerostatic,10.0
1819,aerostatical,12.0
1820,aerostatics,11.0
1821,aerostation,11.0
1822,aeruginous,10.0
1823,aerugo,6.0
1824,aery,4.0
1825,aesculapian,11.0
1826,aesculapius,11.0
1827,aesculin,8.0
1828,esopian,7.0
1829,aesopic,7.0
1830,esopic,6.0
1831,aesthesia,9.0
1832,aesthesiometer,14.0
1833,esthesiometer,13.0
1834,aesthesis,9.0
1835,aesthesodic,11.0
1836,aesthete,8.0
1837,aesthetic,9.0
1838,aesthetical,11.0
1839,aesthetican,11.0
1840,aestheticism,12.0
1841,aesthetics,10.0
1842,esthetics,9.0
1843,aestival,8.0
1844,aestivate,9.0
1845,aestivation,11.0
1846,aestuary,8.0
1847,aestuous,8.0
1848,aetheogamous,12.0
1849,aether,6.0
1850,aethogen,8.0
1851,aethrioscope,12.0
1852,aetiological,12.0
1853,aetiology,9.0
1854,aetites,7.0
1855,afar,4.0
1856,afeard,6.0
1857,afer,4.0
1858,affability,10.0
1859,affable,7.0
1860,affableness,11.0
1861,affably,7.0
1862,affabrous,9.0
1863,affair,6.0
1864,affamish,8.0
1865,affamishment,12.0
1866,affatuate,9.0
1867,affear,6.0
1868,affected,8.0
1869,affecting,9.0
1870,affect,6.0
1871,affectation,11.0
1872,affectationist,14.0
1873,affectedly,10.0
1874,affectedness,12.0
1875,affecter,8.0
1876,affectibility,13.0
1877,affectible,10.0
1878,affectingly,11.0
1879,affection,9.0
1880,affectional,11.0
1881,affectionate,12.0
1882,affectionated,13.0
1883,affectionately,14.0
1884,affectionateness,16.0
1885,affectioned,11.0
1886,affective,9.0
1887,affectively,11.0
1888,affectuous,10.0
1889,affeer,6.0
1890,affeerer,8.0
1891,affeeror,8.0
1892,affeerment,10.0
1893,afferent,8.0
1894,affettuoso,10.0
1895,affiance,8.0
1896,affianced,9.0
1897,affiancing,10.0
1898,affiancer,9.0
1899,affiant,7.0
1900,affidavit,9.0
1901,affile,6.0
1902,affiliable,10.0
1903,affiliated,10.0
1904,affiliating,11.0
1905,affiliate,9.0
1906,affiliation,11.0
1907,affinal,7.0
1908,affine,6.0
1909,affined,7.0
1910,affinitative,12.0
1911,affinitive,10.0
1912,affinities,10.0
1913,affinity,8.0
1914,affirmed,8.0
1915,affirming,9.0
1916,affirm,6.0
1917,affirmable,10.0
1918,affirmance,10.0
1919,affirmant,9.0
1920,affirmation,11.0
1921,affirmative,11.0
1922,affirmatively,13.0
1923,affirmatory,11.0
1924,affirmer,8.0
1925,affixed,7.0
1926,affixing,8.0
1927,affix,5.0
1928,affixes,7.0
1929,affixion,8.0
1930,affixture,9.0
1931,afflation,9.0
1932,afflatus,8.0
1933,afflicted,9.0
1934,afflicting,10.0
1935,afflict,7.0
1936,afflictedness,13.0
1937,afflicter,9.0
1938,affliction,10.0
1939,afflictionless,14.0
1940,afflictive,10.0
1941,afflictively,12.0
1942,affluence,9.0
1943,affluency,9.0
1944,affluent,8.0
1945,affluently,10.0
1946,affluentness,12.0
1947,afflux,6.0
1948,affluxion,9.0
1949,affodill,8.0
1950,afforce,7.0
1951,afforcement,11.0
1952,afforciament,12.0
1953,afforded,8.0
1954,affording,9.0
1955,afford,6.0
1956,affordable,10.0
1957,affordment,10.0
1958,afforest,8.0
1959,afforestation,13.0
1960,afformative,11.0
1961,affranchise,11.0
1962,affranchisement,15.0
1963,affrap,6.0
1964,affrayed,8.0
1965,affray,6.0
1966,affrayer,8.0
1967,affrayment,10.0
1968,affreight,9.0
1969,affreighter,11.0
1970,affreightment,13.0
1971,affret,6.0
1972,affriction,10.0
1973,affriended,10.0
1974,affrighted,10.0
1975,affrighting,11.0
1976,affright,8.0
1977,affrightedly,12.0
1978,affrighten,10.0
1979,affrighter,10.0
1980,affrightful,11.0
1981,affrightment,12.0
1982,affronted,9.0
1983,affronting,10.0
1984,affront,7.0
1985,affronte,8.0
1986,affrontedly,11.0
1987,affrontee,9.0
1988,affronter,9.0
1989,affrontingly,12.0
1990,affrontive,10.0
1991,affrontiveness,14.0
1992,affused,7.0
1993,affusing,8.0
1994,affuse,6.0
1995,affusion,8.0
1996,affied,6.0
1997,affying,7.0
1998,affy,4.0
1999,afghan,6.0
2000,afield,6.0
2001,afire,5.0
2002,aflame,6.0
2003,aflat,5.0
2004,aflaunt,7.0
2005,aflicker,8.0
2006,afloat,6.0
2007,aflow,5.0
2008,aflush,6.0
2009,aflutter,8.0
2010,afoam,5.0
2011,afoot,5.0
2012,afore,5.0
2013,aforecited,10.0
2014,aforegoing,10.0
2015,aforehand,9.0
2016,aforementioned,14.0
2017,aforenamed,10.0
2018,aforesaid,9.0
2019,aforethought,12.0
2020,aforetime,9.0
2021,afoul,5.0
2022,afraid,6.0
2023,afreet,6.0
2024,afresh,6.0
2025,afric,5.0
2026,african,7.0
2027,africander,10.0
2028,africanism,10.0
2029,africanize,10.0
2030,afrit,5.0
2031,afrite,6.0
2032,afront,6.0
2033,aft,3.0
2034,after,5.0
2035,afterbirth,10.0
2036,aftercast,9.0
2037,afterclap,9.0
2038,aftercrop,9.0
2039,aftereye,8.0
2040,aftergame,9.0
2041,aftergrass,10.0
2042,aftergrowth,11.0
2043,afterguard,10.0
2044,afterings,9.0
2045,aftermath,9.0
2046,aftermost,9.0
2047,afternoon,9.0
2048,afterpains,10.0
2049,afterpiece,10.0
2050,aftershaft,10.0
2051,aftertaste,10.0
2052,afterthought,12.0
2053,afterwards,10.0
2054,afterward,9.0
2055,afterwise,9.0
2056,aftmost,7.0
2057,aftward,7.0
2058,aga,3.0
2059,agha,4.0
2060,again,5.0
2061,agains,6.0
2062,againbuy,8.0
2063,againsay,8.0
2064,against,7.0
2065,againstand,10.0
2066,againward,9.0
2067,agalactia,9.0
2068,agalaxy,7.0
2069,agalactous,10.0
2070,agalloch,8.0
2071,agallochum,10.0
2072,agalmatolite,12.0
2073,agama,5.0
2074,agamis,6.0
2075,agami,5.0
2076,agamic,6.0
2077,agamically,10.0
2078,agamist,7.0
2079,agamogenesis,12.0
2080,agamogenetic,12.0
2081,agamous,7.0
2082,aganglionic,11.0
2083,agape,5.0
2084,agapae,6.0
2085,agaric,6.0
2086,agasp,5.0
2087,agast,5.0
2088,aghast,6.0
2089,agastric,8.0
2090,agate,5.0
2091,agatiferous,11.0
2092,agatine,7.0
2093,agatize,7.0
2094,agaty,5.0
2095,agave,5.0
2096,agazed,6.0
2097,age,3.0
2098,aged,4.0
2099,aging,5.0
2100,agedly,6.0
2101,agedness,8.0
2102,ageless,7.0
2103,agen,4.0
2104,agencies,8.0
2105,agency,6.0
2106,agend,5.0
2107,agenda,6.0
2108,agendum,7.0
2109,agenesic,8.0
2110,agenesis,8.0
2111,agennesis,9.0
2112,agent,5.0
2113,agential,8.0
2114,agentship,9.0
2115,ageratum,8.0
2116,aggeneration,12.0
2117,agger,5.0
2118,aggerate,8.0
2119,aggeration,10.0
2120,aggerose,8.0
2121,aggest,6.0
2122,agglomerated,12.0
2123,agglomerating,13.0
2124,agglomerate,11.0
2125,agglomeration,13.0
2126,agglomerative,13.0
2127,agglutinant,11.0
2128,agglutinated,12.0
2129,agglutinating,13.0
2130,agglutinate,11.0
2131,agglutination,13.0
2132,agglutinative,13.0
2133,aggrace,7.0
2134,aggrandizable,13.0
2135,aggrandization,14.0
2136,aggrandized,11.0
2137,aggrandizing,12.0
2138,aggrandize,10.0
2139,aggrandizement,14.0
2140,aggrandizer,11.0
2141,aggrate,7.0
2142,aggravated,10.0
2143,aggravating,11.0
2144,aggravate,9.0
2145,aggravatingly,13.0
2146,aggravation,11.0
2147,aggravative,11.0
2148,aggregated,10.0
2149,aggregating,11.0
2150,aggregate,9.0
2151,aggregately,11.0
2152,aggregation,11.0
2153,aggregative,11.0
2154,aggregator,10.0
2155,aggrege,7.0
2156,aggressed,9.0
2157,aggressing,10.0
2158,aggress,7.0
2159,aggression,10.0
2160,aggressive,10.0
2161,aggressor,9.0
2162,aggrievance,11.0
2163,aggrieved,9.0
2164,aggrieving,10.0
2165,aggrieve,8.0
2166,aggrouped,9.0
2167,aggrouping,10.0
2168,aggroup,7.0
2169,aggroupment,11.0
2170,aggry,5.0
2171,aggri,5.0
2172,agible,6.0
2173,agile,5.0
2174,agilely,7.0
2175,agileness,9.0
2176,agility,7.0
2177,agios,5.0
2178,agio,4.0
2179,agiotage,8.0
2180,agist,5.0
2181,agistator,9.0
2182,agister,7.0
2183,agistor,7.0
2184,agistment,9.0
2185,agitable,8.0
2186,agitated,8.0
2187,agitating,9.0
2188,agitate,7.0
2189,agitatedly,10.0
2190,agitation,9.0
2191,agitative,9.0
2192,agitato,7.0
2193,agitator,8.0
2194,agleam,6.0
2195,aglet,5.0
2196,aiglet,6.0
2197,agley,5.0
2198,aglimmer,8.0
2199,aglitter,8.0
2200,aglossal,8.0
2201,aglow,5.0
2202,aglutition,10.0
2203,agminal,7.0
2204,agminate,8.0
2205,agminated,9.0
2206,agnail,6.0
2207,agnate,6.0
2208,agnatic,7.0
2209,agnation,8.0
2210,agnition,8.0
2211,agnize,6.0
2212,agnoiology,10.0
2213,agnomen,7.0
2214,agnominate,10.0
2215,agnomination,12.0
2216,agnostic,8.0
2217,agnosticism,11.0
2218,agnuses,7.0
2219,agni,4.0
2220,agnus,5.0
2221,ago,3.0
2222,agog,4.0
2223,agoing,6.0
2224,agones,6.0
2225,agon,4.0
2226,agone,5.0
2227,agonic,6.0
2228,agonism,7.0
2229,agonist,7.0
2230,agonistic,9.0
2231,agonistical,11.0
2232,agonistically,13.0
2233,agonistics,10.0
2234,agonized,8.0
2235,agonizing,9.0
2236,agonize,7.0
2237,agonizingly,11.0
2238,agonothete,10.0
2239,agonothetic,11.0
2240,agonies,7.0
2241,agony,5.0
2242,agood,5.0
2243,agora,5.0
2244,agouara,7.0
2245,agouta,6.0
2246,agouti,6.0
2247,agouty,6.0
2248,agrace,6.0
2249,agraffe,7.0
2250,agrammatist,11.0
2251,agraphia,8.0
2252,agraphic,8.0
2253,agrappes,8.0
2254,agrarian,8.0
2255,agrarianism,11.0
2256,agrarianize,11.0
2257,agre,4.0
2258,agree,5.0
2259,agreed,6.0
2260,agreeing,8.0
2261,agreeability,12.0
2262,agreeable,9.0
2263,agreeableness,13.0
2264,agreeably,9.0
2265,agreeingly,10.0
2266,agreement,9.0
2267,agreer,6.0
2268,agrestic,8.0
2269,agrestical,10.0
2270,agricolation,12.0
2271,agricolist,10.0
2272,agricultor,10.0
2273,agricultural,12.0
2274,agriculturalist,15.0
2275,agriculture,11.0
2276,agriculturism,13.0
2277,agriculturist,13.0
2278,agrief,6.0
2279,agrimony,8.0
2280,agrin,5.0
2281,agriologist,11.0
2282,agriology,9.0
2283,agrise,6.0
2284,agrom,5.0
2285,agronomic,9.0
2286,agronomical,11.0
2287,agronomics,10.0
2288,agronomist,10.0
2289,agronomy,8.0
2290,agrope,6.0
2291,agrostis,8.0
2292,agrostographic,14.0
2293,agrostographical,16.0
2294,agrostography,13.0
2295,agrostologic,12.0
2296,agrostological,14.0
2297,agrostologist,13.0
2298,agrostology,11.0
2299,aground,7.0
2300,agroupment,10.0
2301,agrypnotic,10.0
2302,aguardiente,11.0
2303,ague,4.0
2304,agued,5.0
2305,aguilt,6.0
2306,aguise,6.0
2307,aguish,6.0
2308,agush,5.0
2309,agynous,7.0
2310,ah,2.0
2311,aha,3.0
2312,ahead,5.0
2313,aheap,5.0
2314,aheight,7.0
2315,ahem,4.0
2316,ahey,4.0
2317,ahigh,5.0
2318,ahold,5.0
2319,ahorseback,10.0
2320,ahoy,4.0
2321,ahriman,7.0
2322,ahu,3.0
2323,ahull,5.0
2324,ahungered,9.0
2325,ais,3.0
2326,ai,2.0
2327,aiblins,7.0
2328,aided,5.0
2329,aiding,6.0
2330,aid,3.0
2331,aidance,7.0
2332,aidant,6.0
2333,aider,5.0
2334,aidful,6.0
2335,aidless,7.0
2336,aiel,4.0
2337,aigre,5.0
2338,aigremore,9.0
2339,aigret,6.0
2340,aigrette,8.0
2341,aiguille,8.0
2342,aiguillette,11.0
2343,aigulet,7.0
2344,ailed,5.0
2345,ailing,6.0
2346,ail,3.0
2347,ailanthus,9.0
2348,ailantus,8.0
2349,ailette,7.0
2350,ailment,7.0
2351,ailuroidea,10.0
2352,aimed,5.0
2353,aiming,6.0
2354,aim,3.0
2355,aimer,5.0
2356,aimless,7.0
2357,aino,4.0
2358,air,3.0
2359,aired,5.0
2360,airing,6.0
2361,airer,5.0
2362,airily,6.0
2363,airiness,8.0
2364,airless,7.0
2365,airlike,7.0
2366,airling,7.0
2367,airometer,9.0
2368,airward,7.0
2369,airwards,8.0
2370,airy,4.0
2371,aisle,5.0
2372,aisled,6.0
2373,aisless,7.0
2374,ait,3.0
2375,aitch,5.0
2376,aitchbone,9.0
2377,aitiology,9.0
2378,ajar,4.0
2379,ajog,4.0
2380,ajutage,7.0
2381,ake,3.0
2382,akene,5.0
2383,aketon,6.0
2384,akimbo,6.0
2385,akin,4.0
2386,akinesia,8.0
2387,akinesic,8.0
2388,aknee,5.0
2389,aknow,5.0
2390,al,2.0
2391,alae,4.0
2392,ala,3.0
2393,alabaster,9.0
2394,alabastrian,11.0
2395,alabastrine,11.0
2396,alabastra,9.0
2397,alabastrum,10.0
2398,alack,5.0
2399,alackaday,9.0
2400,alacrify,8.0
2401,alacrious,9.0
2402,alacriously,11.0
2403,alacriousness,13.0
2404,alacrity,8.0
2405,aladinist,9.0
2406,alalonga,8.0
2407,alilonghi,9.0
2408,alamire,7.0
2409,alamodality,11.0
2410,alamode,7.0
2411,alamort,7.0
2412,alan,4.0
2413,aland,5.0
2414,alanine,7.0
2415,alantin,7.0
2416,alar,4.0
2417,alarm,5.0
2418,alarmed,7.0
2419,alarming,8.0
2420,alarmable,9.0
2421,alarmedly,9.0
2422,alarmist,8.0
2423,alarum,6.0
2424,alary,5.0
2425,alas,4.0
2426,alate,5.0
2427,alated,6.0
2428,alatern,7.0
2429,alaternus,9.0
2430,alation,7.0
2431,alaunt,6.0
2432,alb,3.0
2433,albacore,8.0
2434,alban,5.0
2435,albanian,8.0
2436,albata,6.0
2437,albatross,9.0
2438,albe,4.0
2439,albee,5.0
2440,albedo,6.0
2441,albeit,6.0
2442,albertite,9.0
2443,albertype,9.0
2444,albescence,10.0
2445,albescent,9.0
2446,albicant,8.0
2447,albication,10.0
2448,albicore,8.0
2449,albification,12.0
2450,albigenses,10.0
2451,albigeois,9.0
2452,albigensian,11.0
2453,albiness,8.0
2454,albinism,8.0
2455,albinistic,10.0
2456,albinos,7.0
2457,albino,6.0
2458,albinoism,9.0
2459,albinotic,9.0
2460,albion,6.0
2461,albite,6.0
2462,albolith,8.0
2463,alborak,7.0
2464,albugineous,11.0
2465,albugines,9.0
2466,albugo,6.0
2467,album,5.0
2468,albumen,7.0
2469,albumenized,11.0
2470,albumenizing,12.0
2471,albumenize,10.0
2472,albumin,7.0
2473,albuminate,10.0
2474,albuminiferous,14.0
2475,albuminimeter,13.0
2476,albuminin,9.0
2477,albuminiparous,14.0
2478,albuminoid,10.0
2479,albuminoidal,12.0
2480,albuminose,10.0
2481,albuminous,10.0
2482,albuminuria,11.0
2483,albumose,8.0
2484,alburn,6.0
2485,alburnous,9.0
2486,alburnum,8.0
2487,albyn,5.0
2488,alcade,6.0
2489,alcahest,8.0
2490,alcaic,6.0
2491,alcaid,6.0
