,N,Length
1286,nonacid,7.0
1287,nonacquaintance,15.0
1288,nonacquiescence,15.0
1289,nonadmission,12.0
1290,nonadult,8.0
1291,nonaerobiotic,13.0
1292,nonage,6.0
1293,nonaged,7.0
1294,nonagenarian,12.0
1295,nonagesimal,11.0
1296,nonagon,7.0
1297,nonagrian,9.0
1298,nonalienation,13.0
1299,nonane,6.0
1300,nonappearance,13.0
1301,nonappointment,14.0
1302,nonarrival,10.0
1303,nonattendance,13.0
1304,nonattention,12.0
1305,nonbituminous,13.0
1306,nonce,5.0
1307,nonchalance,11.0
1308,nonchalant,10.0
1309,nonchalantly,12.0
1310,nonclaim,8.0
1311,noncohesion,11.0
1312,noncoincidence,14.0
1313,noncoincident,13.0
1314,noncombatant,12.0
1315,noncommissioned,15.0
1316,noncommittal,12.0
1317,noncommunion,12.0
1318,noncompletion,13.0
1319,noncompliance,13.0
1320,noncomplying,12.0
1321,noncon.,7.0
1322,nonconcluding,13.0
1323,nonconcur,9.0
1324,nonconcurrence,14.0
1325,noncondensible,14.0
1326,noncondensing,13.0
1327,nonconducting,13.0
1328,nonconduction,13.0
1329,nonconductor,12.0
1330,nonconforming,13.0
1331,nonconformist,13.0
1332,nonconformity,13.0
1333,nonconstat,10.0
1334,noncontagious,13.0
1335,noncontent,10.0
1336,noncontributing,15.0
1337,noncontributory,15.0
1338,nonda,5.0
1339,nondecane,9.0
1340,nondeciduate,12.0
1341,nondelivery,11.0
1342,nondeposition,13.0
1343,nondescript,11.0
1344,nondevelopment,14.0
1345,nondiscovery,12.0
1346,nondo,5.0
1347,none,4.0
1348,noneffective,12.0
1349,nonelastic,10.0
1350,nonelect,8.0
1351,nonelection,11.0
1352,nonelectric,11.0
1353,nonelectrical,13.0
1354,nonemphatic,11.0
1355,nonemphatical,13.0
1356,nonentities,11.0
1357,nonentity,9.0
1358,nones,5.0
1359,nonessential,12.0
1360,nonesuch,8.0
1361,nonet,5.0
1362,nonetto,7.0
1363,nonett,6.0
1364,nonexecution,12.0
1365,nonexistence,12.0
1366,nonexistent,11.0
1367,nonexportation,14.0
1368,nonextensile,12.0
1369,nonfulfillment,14.0
1370,nonillion,9.0
1371,nonimportation,14.0
1372,nonimporting,12.0
1373,noninflectional,15.0
1374,noninhabitant,13.0
1375,nonintervention,15.0
1376,nonius,6.0
1377,nonjoinder,10.0
1378,nonjurant,9.0
1379,nonjuring,9.0
1380,nonjuror,8.0
1381,nonjurorism,11.0
1382,nonlimitation,13.0
1383,nonmalignant,12.0
1384,nonmanufacturing,16.0
1385,nonmedullated,13.0
1386,nonmember,9.0
1387,nonmembership,13.0
1388,nonmetal,8.0
1389,nonmetallic,11.0
1390,nonnatural,10.0
1391,nonne,5.0
1392,nonnecessity,12.0
1393,nonnitrognous,13.0
1394,nonnucleated,12.0
1395,nonny,5.0
1396,nonobedience,12.0
1397,nonobservance,13.0
1398,nonoic,6.0
1399,nonone,6.0
1400,nonoxygenous,12.0
1401,nonpareil,9.0
1402,nonpayment,10.0
1403,nonperformance,14.0
1404,nonphotobiotic,14.0
1405,nonplane,8.0
1406,nonplus,7.0
1407,nonplused,9.0
1408,nonplussed,10.0
1409,nonplusing,10.0
1410,nonplussing,11.0
1411,nonpreparation,14.0
1412,nonpresentation,15.0
1413,nonproduction,13.0
1414,nonprofessional,15.0
1415,nonproficiency,14.0
1416,nonproficient,13.0
1417,nonprossed,10.0
1418,nonrecurrent,12.0
1419,nonrecurring,12.0
1420,nonregardance,13.0
1421,nonregent,9.0
1422,nonrendition,12.0
1423,nonresemblance,14.0
1424,nonresidence,12.0
1425,nonresident,11.0
1426,nonresistance,13.0
1427,nonresistant,12.0
1428,nonresisting,12.0
1429,nonruminant,11.0
1430,nonsane,7.0
1431,nonsense,8.0
1432,nonsensical,11.0
1433,nonsensitive,12.0
1434,nonsexual,9.0
1435,nonslaveholding,15.0
1436,nonsolution,11.0
1437,nonsolvency,11.0
1438,nonsolvent,10.0
1439,nonsonant,9.0
1440,nonsparing,10.0
1441,nonstriated,11.0
1442,nonsubmission,13.0
1443,nonsubmissive,13.0
1444,nonsuch,7.0
1445,nonsuit,7.0
1446,nonsuited,9.0
1447,nonsuiting,10.0
1448,nonsurety,9.0
1449,nontenure,9.0
1450,nonterm,7.0
1451,nontoxic,8.0
1452,nontronite,10.0
1453,nonuniformist,13.0
1454,nonunionist,11.0
1455,nonusance,9.0
1456,nonuser,7.0
1457,nonvascular,11.0
1458,nonvernacular,13.0
1459,nonvocal,8.0
1460,nonyl,5.0
1461,nonylene,8.0
1462,nonylenic,9.0
1463,nonylic,7.0
1464,noodle,6.0
1465,nook,4.0
1466,noological,10.0
1467,noologist,9.0
1468,noology,7.0
1469,noon,4.0
1470,noonday,7.0
1471,nooning,7.0
1472,noonshun,8.0
1473,noonstead,9.0
1474,noontide,8.0
1475,noose,5.0
1476,noosed,6.0
1477,noosing,7.0
1478,noot,4.0
1479,nopal,5.0
1480,nopalries,9.0
1481,nopalry,7.0
1482,nope,4.0
1483,nor,3.0
1484,norbertine,10.0
1485,noria,5.0
1486,norian,6.0
1487,norice,6.0
1488,norie,5.0
1489,norimons,8.0
1490,norimon,7.0
1491,norite,6.0
1492,norium,6.0
1493,norm,4.0
1494,norma,5.0
1495,normal,6.0
1496,normalcy,8.0
1497,normalization,13.0
1498,normally,8.0
1499,norman,6.0
1500,normanism,9.0
1501,norn,4.0
1502,norna,5.0
1503,noropianic,10.0
1504,norroy,6.0
1505,norse,5.0
1506,norsemen,8.0
1507,norseman,8.0
1508,nortelry,8.0
1509,north,5.0
1510,northeast,9.0
1511,northeaster,11.0
1512,northeasterly,13.0
1513,northeastern,12.0
1514,northeastward,13.0
1515,northeastwardly,15.0
1516,norther,7.0
1517,northerliness,13.0
1518,northerly,9.0
1519,northern,8.0
1520,northerner,10.0
1521,northernly,10.0
1522,northernmost,12.0
1523,northing,8.0
1524,northmen,8.0
1525,northman,8.0
1526,northmost,9.0
1527,northness,9.0
1528,northumbrian,12.0
1529,northward,9.0
1530,northwards,10.0
1531,northwardly,11.0
1532,northwest,9.0
1533,northwester,11.0
1534,northwesterly,13.0
1535,northwestern,12.0
1536,northwestward,13.0
1537,northwestwardly,15.0
1538,norwegian,9.0
1539,norwegium,9.0
1540,norweyan,8.0
1541,nose,4.0
1542,nosed,5.0
1543,nosing,6.0
1544,nosebag,7.0
1545,noseband,8.0
1546,nosebleed,9.0
1547,nosegay,7.0
1548,nosel,5.0
1549,noseless,8.0
1550,nosesmart,9.0
1551,nosethirl,9.0
1552,nosethril,9.0
1553,nosle,5.0
1554,nosocomial,10.0
1555,nosography,10.0
1556,nosological,11.0
1557,nosologist,10.0
1558,nosology,8.0
1559,nosopoetic,10.0
1560,nost,4.0
1561,nostalgia,9.0
1562,nostalgic,9.0
1563,nostalgy,8.0
1564,nostoc,6.0
1565,nostril,7.0
1566,nostrums,8.0
1567,nostrum,7.0
1568,not,3.0
1569,notabilia,9.0
1570,notabilities,12.0
1571,notability,10.0
1572,notable,7.0
1573,notableness,11.0
1574,notably,7.0
1575,notaeum,7.0
1576,notal,5.0
1577,notanda,7.0
1578,notandum,8.0
1579,notarial,8.0
1580,notarially,10.0
1581,notaries,8.0
1582,notary,6.0
1583,notate,6.0
1584,notation,8.0
1585,notch,5.0
1586,notched,7.0
1587,notching,8.0
1588,notchboard,10.0
1589,notchweed,9.0
1590,note,4.0
1591,noted,5.0
1592,noting,6.0
1593,notebook,8.0
1594,noteful,7.0
1595,noteless,8.0
1596,notelessness,12.0
1597,notelet,7.0
1598,noter,5.0
1599,noteworthy,10.0
1600,nother,6.0
1601,nothing,7.0
1602,nothingarian,12.0
1603,nothingism,10.0
1604,nothingness,11.0
1605,notice,6.0
1606,noticed,7.0
1607,noticing,8.0
1608,noticeable,10.0
1609,noticeably,10.0
1610,noticer,7.0
1611,notidanian,10.0
1612,notification,12.0
1613,notified,8.0
1614,notifying,9.0
1615,notify,6.0
1616,notion,6.0
1617,notional,8.0
1618,notionality,11.0
1619,notionally,10.0
1620,notionate,9.0
1621,notionist,9.0
1622,notist,6.0
1623,notobranchiata,14.0
1624,notobranchiate,14.0
1625,notochord,9.0
1626,notochordal,11.0
1627,notodontian,11.0
1628,notopodia,9.0
1629,notopodiums,11.0
1630,notopodium,10.0
1631,notorhizal,10.0
1632,notoriety,9.0
1633,notorious,9.0
1634,notornis,8.0
1635,nototherium,11.0
1636,nototrema,9.0
1637,notself,7.0
1638,nott,4.0
1639,notturno,8.0
1640,nota,4.0
1641,notum,5.0
1642,notus,5.0
1643,notwheat,8.0
1644,notwithstanding,15.0
1645,nouch,5.0
1646,nougat,6.0
1647,nought,6.0
1648,nould,5.0
1649,noule,5.0
1650,noumenal,8.0
1651,noumenon,8.0
1652,noun,4.0
1653,nounal,6.0
1654,nounize,7.0
1655,nourice,7.0
1656,nourished,9.0
1657,nourishing,10.0
1658,nourish,7.0
1659,nourishable,11.0
1660,nourisher,9.0
1661,nourishingly,12.0
1662,nourishment,11.0
1663,nouriture,9.0
1664,noursle,7.0
1665,nous,4.0
1666,nousel,6.0
1667,nousle,6.0
1668,nouthe,6.0
1669,nowthe,6.0
1670,novaculite,10.0
1671,novatian,8.0
1672,novatianism,11.0
1673,novation,8.0
1674,novator,7.0
1675,novel,5.0
1676,novelette,9.0
1677,novelism,8.0
1678,novelist,8.0
1679,novelize,8.0
1680,novelized,9.0
1681,novelizing,10.0
1682,novelry,7.0
1683,novelties,9.0
1684,novelty,7.0
1685,november,8.0
1686,novenary,8.0
1687,novene,6.0
1688,novennial,9.0
1689,novercal,8.0
1690,novice,6.0
1691,noviceship,10.0
1692,novilunar,9.0
1693,novitiate,9.0
1694,novitious,9.0
1695,novity,6.0
1696,novum,5.0
1697,now,3.0
1698,nowadays,8.0
1699,noway,5.0
1700,noways,6.0
1701,nowch,5.0
1702,nowd,4.0
1703,nowed,5.0
1704,nowel,5.0
1705,nowes,5.0
1706,nowhere,7.0
1707,nowhither,9.0
1708,nowise,6.0
1709,nowt,4.0
1710,noxious,7.0
1711,noy,3.0
1712,noyance,7.0
1713,noyau,5.0
1714,noyer,5.0
1715,noyful,6.0
1716,noyls,5.0
1717,noyous,6.0
1718,nozle,5.0
1719,nozzle,6.0
1720,nuance,6.0
1721,nub,3.0
1722,nubbin,6.0
1723,nubble,6.0
1724,nubeculae,9.0
1725,nubecula,8.0
1726,nubia,5.0
1727,nubian,6.0
1728,nubiferous,10.0
1729,nubigenous,10.0
1730,nubilate,8.0
1731,nubile,6.0
1732,nubility,8.0
1733,nubilose,8.0
1734,nubilous,8.0
1735,nucament,8.0
1736,nucamentaceous,14.0
1737,nucelli,7.0
1738,nucellus,8.0
1739,nuch/,5.0
1740,nucha,5.0
1741,nuchal,6.0
1742,nuciferous,10.0
1743,nuciform,8.0
1744,nucin,5.0
1745,nucleal,7.0
1746,nuclear,7.0
1747,nucleate,8.0
1748,nucleated,9.0
1749,nucleiform,10.0
1750,nuclein,7.0
1751,nucleobranch,12.0
1752,nucleobranchiata,16.0
1753,nucleoidioplasma,16.0
1754,nucleolar,9.0
1755,nucleolated,11.0
1756,nucleole,8.0
1757,nucleoli,8.0
1758,nucleolus,9.0
1759,nucleoplasm,11.0
1760,nucleoplasmic,13.0
1761,nucleuses,9.0
1762,nuclei,6.0
1763,nucleus,7.0
1764,nucula,6.0
1765,nucle,5.0
1766,nucumentaceous,14.0
1767,nudation,8.0
1768,nuddle,6.0
1769,nude,4.0
1770,nudge/,6.0
1771,nudging,7.0
1772,nudge,5.0
1773,nudibrachiate,13.0
1774,nudibranch,10.0
1775,nudibranchiata,14.0
1776,nudibranchiate,14.0
1777,nudicaul,8.0
1778,nudification,12.0
1779,nudities,8.0
1780,nudity,6.0
1781,nugacity,8.0
1782,nugae,5.0
1783,nugation,8.0
1784,nugatory,8.0
1785,nugget,6.0
1786,nugify,6.0
1787,nuisance,8.0
1788,nuisancer,9.0
1789,nul,3.0
1790,nulled,6.0
1791,nullibiety,10.0
1792,nullification,13.0
1793,nullifidian,11.0
1794,nullifier,9.0
1795,nullified,9.0
1796,nullifying,10.0
1797,nullify,7.0
1798,nullipore,9.0
1799,nullities,9.0
1800,nullity,7.0
1801,numb,4.0
1802,numbed,6.0
1803,numbing,7.0
1804,numbedness,10.0
1805,number,6.0
1806,numbered,8.0
1807,numbering,9.0
1808,numberer,8.0
1809,numberful,9.0
1810,numberless,10.0
1811,numberous,9.0
1812,numbers,7.0
1813,numbfish,8.0
1814,numbless,8.0
1815,numbness,8.0
1816,numerable,9.0
1817,numeral,7.0
1818,numerally,9.0
1819,numerary,8.0
1820,numerated,9.0
1821,numerating,10.0
1822,numerate,8.0
1823,numeration,10.0
1824,numerative,10.0
1825,numerator,9.0
1826,numeric,7.0
1827,numerical,9.0
1828,numerically,11.0
1829,numerist,8.0
1830,numero,6.0
1831,numerosity,10.0
1832,numerous,8.0
1833,numidian,8.0
1834,numismatic,10.0
1835,numismatical,12.0
1836,numismatics,11.0
1837,numismatist,11.0
1838,numismatography,15.0
1839,numismatologist,15.0
1840,numismatology,13.0
1841,nummary,7.0
1842,nummular,8.0
1843,nummulary,9.0
1844,nummulation,11.0
1845,nummulite,9.0
1846,nummulites,10.0
1847,nummulitic,10.0
1848,numps,5.0
1849,numskull,8.0
1850,numskulled,10.0
1851,nun,3.0
1852,nunchion,8.0
1853,nunciate,8.0
1854,nunciature,10.0
1855,nuncios,7.0
1856,nuncio,6.0
1857,nuncii,6.0
1858,nuncius,7.0
1859,nuncupate,9.0
1860,nuncupation,11.0
1861,nuncupative,11.0
1862,nuncupatory,11.0
1863,nundinal,8.0
1864,nundinary,9.0
1865,nundinate,9.0
1866,nundination,11.0
1867,nunnation,9.0
1868,nunneries,9.0
1869,nunnery,7.0
1870,nunnish,7.0
1871,nup,3.0
1872,nuphar,6.0
1873,nupson,6.0
1874,nuptial,7.0
1875,nuptials,8.0
1876,nur,3.0
1877,nurled,6.0
1878,nurling,7.0
1879,nurl,4.0
1880,nurse,5.0
1881,nursed,6.0
1882,nursing,7.0
1883,nursehound,10.0
1884,nursemaid,9.0
1885,nursepond,9.0
1886,nurser,6.0
1887,nurseries,9.0
1888,nursery,7.0
1889,nurserymen,10.0
1890,nurseryman,10.0
1891,nursling,8.0
1892,nurstle,7.0
1893,nurture,7.0
1894,nurtured,8.0
1895,nurturing,9.0
1896,nustle,6.0
1897,nut,3.0
1898,nutted,6.0
1899,nutting,7.0
1900,nutant,6.0
1901,nutation,8.0
1902,nutbreaker,10.0
1903,nutcracker,10.0
1904,nutgall,7.0
1905,nuthatch,8.0
1906,nuthook,7.0
1907,nutjobber,9.0
1908,nutlet,6.0
1909,nutmeg,6.0
1910,nutmegged,9.0
1911,nutpecker,9.0
1912,nutria,6.0
1913,nutrication,11.0
1914,nutrient,8.0
1915,nutriment,9.0
1916,nutrimental,11.0
1917,nutritial,9.0
1918,nutrition,9.0
1919,nutritional,11.0
1920,nutritious,10.0
1921,nutritive,9.0
1922,nutriture,9.0
1923,nutshell,8.0
1924,nutter,6.0
1925,nutty,5.0
1926,nuzzied,7.0
1927,nuzzling,8.0
1928,nuzzle,6.0
1929,ny,2.0
1930,nye,3.0
1931,nyas,4.0
1932,nyctalopia,10.0
1933,nyctalops,9.0
1934,nyctalopy,9.0
1935,nycthemeron,11.0
1936,nyctibune,9.0
1937,nyctitropic,11.0
1938,nyctophile,10.0
1939,nyentek,7.0
1940,nylghau,7.0
1941,nylgau,6.0
1942,nymph,5.0
1943,nymph/,6.0
1944,nympha,6.0
1945,nymphaea,8.0
1946,nymphal,7.0
1947,nymphales,9.0
1948,nymphean,8.0
1949,nymphet,7.0
1950,nymphic,7.0
1951,nymphical,9.0
1952,nymphiparous,12.0
1953,nymphish,8.0
1954,nymphlike,9.0
1955,nymphly,7.0
1956,nympholepsy,11.0
1957,nympholeptic,12.0
1958,nymphomania,11.0
1959,nymphomany,10.0
1960,nymphotomy,10.0
1961,nys,3.0
1962,nystagmus,9.0
1963,nyula,5.0
